供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度,分段
Innodata,"""Magnificent Seven"" 中的 5 家",科技大厂,财报披露,客户覆盖 5 家 Mag7 和多家头部 AI 实验室,"the customer base includes five of the companies commonly referred to as the ""Magnificent Seven,"" as well as several leading artificial intelligence research labs",https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231x10k.htm,2026-02,财报（搜索摘要）,高,overseas-large
Innodata,"""Magnificent Seven"" 大厂客户（未具名）",科技大厂,财报披露,新项目年化约 4400 万美元,"Innodata Awarded New Programs from ""Magnificent Seven"" Big Tech Customer Valued at Approximately $44 Million",https://investor.innodata.com/news/news-details/2024/Innodata-Awarded-New-Programs-from-Magnificent-Seven-Big-Tech-Customer-Valued-at-Approximately-44-Million-in-Annualized-Run-Rate-Revenue-06-03-2024/default.aspx,2024-06-03,供应商官方新闻稿,低,overseas-large
SuperCLUE,160+ 中大型企业（未具名）,企业,客户,基于 SuperCLUE-RAG 体系的 POC 验证与落地,已服务160+中大型企业完成大模型应用POC验证与落地,https://www.53ai.com/news/qianyanjishu/265.html,2024,行业媒体（搜索摘要）,低,china
micro1,1X,其他,客户,客户包括前沿实验室、Microsoft、Amazon 和机器人公司 1X,"the company counts frontier AI labs, Microsoft, Amazon and robotics company 1X among its customers",https://forbes.pe/tecnologia/2026-09-23/este-joven-de-25-anos-recaudo-mas-de-us-100-millones-para-su-startup-de-datos-de-ia-con-una-valoracion-de-us4000-millones,2026-09-23,媒体报道（搜索摘要）,中,overseas-large
光轮智能 Lightwheel,1X Technologies,垂直AI,合作,仿真资产/合成数据/评测,合作伙伴涵盖英伟达、谷歌、Figure AI、1X Technologies…阿里、智元机器人…比亚迪、吉利等,https://finance.sina.com.cn/wm/2026-03-12/doc-inhqtcut4893757.shtml,2026-03-12,融资稿/媒体报道,中,china
光轮智能 Lightwheel,1X Technologies,垂直 AI,客户,具身仿真/合成数据,客户覆盖英伟达、谷歌、Figure AI、1X Technologies…,https://news.qq.com/rain/a/20260311A055JX00,2026-03-11,媒体（融资通稿，搜索摘要）,中,china
iMerit,3 个美国政府机构,其他,客户,未具名的客户结构,"three of the big seven generative AI companies, eight of the top autonomous vehicle companies, three large U.S. government agencies",https://techcrunch.com/2025/07/09/imerit-believes-better-quality-data-not-more-data-is-the-future-of-ai/,2025-07-09,媒体报道,中,overseas-large
Cua,468 Capital,其他,投资方,YC S25；$500K 种子,"$500K in seed funding from 468 Capital, Orange Collective, and Script Capital（搜索摘要）",https://startupintros.com/orgs/cua,2025,第三方目录,低,overseas-rl
Handshake AI,8 家前沿实验室（未具名）,frontier lab,客户,16 个月内年化总收入从 0 做到超过 10 亿美元,working with eight frontier AI labs and drawing on hundreds of thousands of contributors,https://time.com/collection/time100-ai/2026/garrett-lord/,2026,媒体报道,中,overseas-large
iMerit,8 家自动驾驶公司,其他,客户,未具名的客户结构,"three of the big seven generative AI companies, eight of the top autonomous vehicle companies, three large U.S. government agencies",https://techcrunch.com/2025/07/09/imerit-believes-better-quality-data-not-more-data-is-the-future-of-ai/,2025-07-09,媒体报道,中,overseas-large
