投资方,类型,地区,本赛道已投,领投过的,常投阶段和金额,对接合伙人,合伙人来源链接,公开观点原话,观点链接,投过的直接竞品,匹配度,匹配理由,置信度
红杉中国 HongShan（HSG）,VC,中国大陆/香港（人民币+美元）,UniPat AI（早期老股东，2026-09 A轮跟投）；TalentsAI（天使）；觅蜂科技（种子/天使领投，2026-08追加）；自建评测基准 xbench，并与 UniPat 联合发布 BabyVision 评测集（2026-01）,觅蜂科技（2026-02 种子+天使，数亿元）；语用科技（2026-08 与高榕联合领投，估值20亿美元）,种子到成长期都投；有单列的专项种子基金（https://www.sequoiacap.com/china/article/seed-fund/）,公元（合伙人，xbench 牵头人）；计越（合伙人，AI）；负责 UniPat 交易的具体合伙人：未找到,https://news.qq.com/rain/a/20250526A02TX700；https://www.jiemian.com/article/1632283.html,"公元（转述）：团队经历了三次题库迭代，每次模型都能很快""刷爆""现有题库（搜索摘要）",https://www.qbitai.com/2025/05/288023.html,UniPat AI（评测/RL后训练数据）；TalentsAI（专家数据）,高,【美元】【投过90后年轻团队】唯一一家自己做 Agent 评测基准的国内 VC，同时投了评测公司和专家数据公司，种子基金的阶段也对得上；缺点是已经投了 UniPat 和 TalentsAI，要先讲清差异（可执行环境+验证器+金融场景）,中
五源资本 5Y Capital,VC,中国大陆/香港（人民币+美元）,智能知识/一面千识（种子轮）；GIM（金融垂域AI，天使轮，与 Monolith 联合）,未找到本赛道领投记录,种子到成长期；本赛道金额未披露,刘芹（创始合伙人）；孟醒（合伙人，前滴滴自动驾驶COO）；井绪天（90后合伙人，2025-09晋升）；具体负责智能知识的人：未找到,https://www.5ycap.com/en/team/；https://news.qq.com/rain/a/20260106A0363600,未找到,,智能知识/一面千识（专家数据）,高,【美元】【投过金融背景年轻团队】在种子轮投了专家数据公司，又投了由前五源投资人和港大教授创办的金融 AI 公司 GIM，同时懂数据和金融；阶段也对得上,中
锦秋基金 Jinqiu Capital,VC,中国大陆（美元为主，另有人民币新基金）,智能知识/一面千识（天使轮，与耀途联合）；星尘智能（A/A+领投，具身本体，非数据）,智能知识（天使，联合投资）,天使到A轮为主，出手很快（一年超50个项目）；美元基金期限12年,杨洁（创始合伙人，前字节跳动财务投资负责人、前红杉）；臧天宇（合伙人）,https://news.qq.com/rain/a/20251103A01BJN00；https://www.nbd.com.cn/articles/2371979.html,杨洁（英文转述）：the data flywheel truly works——数据飞轮要真正推动收入、留存等具体业务指标（搜索摘要）,https://news.qq.com/rain/a/20251103A01BJN00,智能知识/一面千识（专家数据）,高,【美元】【大模型LP：字节是最大LP（杨洁本人说法，另有报道称字节出资新基金近半）】投过专家数据，出手频率高，通过 LP 关系可能打通字节 Seed 这个最大买家,中
Monolith 砺思资本,VC,中国大陆（美元+人民币）,本赛道未找到直接数据公司；GIM（金融垂域AI，天使轮）；月之暗面、沐曦科技（AI基础设施）,GIM（天使，与五源联合）,美元二期+人民币一期合计35亿元；早期到成长期,曹曦（创始合伙人，前红杉中国合伙人）,https://news.pedaily.cn/202511/557110.shtml,曹曦：团队既有前沿AI研究能力，也真正理解金融和资产管理的复杂性（搜索摘要，谈 GIM）,https://news.pedaily.cn/202606/564923.shtml,无,高,"【美元】【投过金融/量化方向年轻团队】【大模型资源：月之暗面股东】愿意为""AI研究能力+懂金融""的团队下注，和 SimReal 的叙事最接近；不过还没投过数据公司",中
九坤创投 Ubiquant Ventures,VC,中国大陆（北京）,本赛道未找到；原力灵机（具身，天使）；九坤投资与微软亚洲研究院合作研究基于规则的 RL（推理模型）,未找到,A轮及更早；母基金+直投,王琛、姚齐聪（九坤投资创始人，共同创立九坤创投）,https://news.qq.com/rain/a/20250327A0ACXQ00,未找到,,无,高,【量化背景】量化私募的创投平台，本身做过 RL 推理研究，也有 AI Lab 和 Data Lab。对来自 Citadel/Millennium/Jane Street 的团队最容易认可，本身也可能成为金融 RL 环境的客户；需要核实是否有美元主体,中
耀途资本 Glory Ventures,VC,中国大陆（双币）,智能知识/一面千识（天使轮，与锦秋联合）,智能知识（天使，联合投资）,中早期；管理7支双币基金，投了超120家公司,杨光、白宗义（创始合伙人）；温廷灿（投资总监，负责智能知识）,https://www.glory-ventures.com/；https://news.qq.com/rain/a/20260608A079S700,温廷灿：智识已获得头部大模型公司订单，完成初步PMF（搜索摘要）,https://zhuanlan.zhihu.com/p/2044128857192714401,智能知识/一面千识（专家数据）,中,【美元：双币】投过专家数据，看重大模型客户的订单；偏向硬件和基础设施，对纯数据服务的偏好一般,中
BV百度风投 Baidu Ventures,VC,中国大陆（北京）/美国（美元+人民币）,简智机器人（种子领投，之后连续跟投）；觅蜂科技（种子跟投）,简智机器人（2025-08 种子轮）,种子到A轮；管理三支美元和人民币基金，共5亿美元,刘维（CEO）；齐玉杰、蔡薇（合伙人）；崔轲迪（投资副总裁，负责简智）,https://www.vbdata.cn/orgDetail/79ac61ad3598468689eb21a50216fee1；https://www.sohu.com/a/966588070_439726,崔轲迪：这支以90后为核心驱动的团队，帮助我们清晰勾勒出一家优秀数据智能公司应有的模样（搜索摘要）,https://www.sohu.com/a/966588070_439726,无（只投了具身数据）,中,【美元】【投过90后年轻团队】【大模型资源：百度文心】敢在种子轮领投数据公司，也投年轻团队；但目前方向集中在具身,中
奇绩创坛 MiraclePlus,加速器,中国大陆（北京）,智能知识/一面千识（种子，2025秋季营）；光轮智能（天使）；枢途科技（天使）；2026春季营数据方向10个项目,枢途科技（天使）,创业营录取就投，标准条款（无对赌、无回购、不要董事席位）；单笔金额未公开；累计投资25亿元,陆奇（创始人）,https://www.stdaily.com/web/gdxw/2026-05/06/content_512299.html,陆奇（转述）：研究成为直接生产力，算力成为核心生产工具，数据成为重要生产要素（搜索摘要）,https://www.huxiu.com/article/4864883.html,一面千识（专家数据，含RL数据合成和环境搭建）,中,【研究型创始人占45%】对 RL 数据和环境方向最早有认知；但主要投人民币、需要入营，对已经在融种子轮的团队价值有限，更适合拿来做背书或接触被投的大模型公司,中
线性资本 Linear Capital,VC,中国大陆（上海）/德国慕尼黑（美元为主）,本赛道未找到；方向覆盖 AI Infra 和具身,未找到本赛道领投,天使到A轮领投，单笔100万–1000万美元；第六期美元基金2026-09首关,王淮（创始合伙人，斯坦福硕士，Facebook 第二位华人工程师）,https://news.qq.com/rain/a/20260902A05SIU00；https://36kr.com/p/2826124530845959,王淮（转述）：AI 落地需要大量数据，数据往往是实际应用的重要限制（搜索摘要）,https://www.sohu.com/a/203332622_610473,无,中,【美元】【偏好技术和海归创始人】阶段和金额都和 SimReal 的种子轮吻合，新美元基金正在投资期；但对这个赛道的认知未经证实,中
高榕创投 Gaorong Ventures,VC,中国大陆（美元+人民币）,本赛道未找到；语用科技（林俊旸创办，前 Qwen 技术负责人，2026-08 联合领投）,语用科技（天使，估值20亿美元）,天使到成长期,张震、岳斌（创始合伙人）；负责语用科技的合伙人：未找到,https://www.itjuzi.com/investfirm/233,未找到,,无,中,【美元】【大模型资源：语用科技】被投的语用科技是一家新的后训练/Agent 实验室，也是 SimReal 的潜在客户；高榕本身没有投过数据公司,低
