供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度
海天瑞声 SpeechOcean/DataOcean AI,阿里巴巴,科技大厂,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,腾讯,科技大厂,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,百度,科技大厂,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,科大讯飞,国内大模型公司,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,海康威视,企业,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,字节跳动,科技大厂,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,微软,frontier lab,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,亚马逊,科技大厂,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,三星,企业,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,中国移动,企业,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,中国科学院,高校研究机构,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,清华大学,高校研究机构,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高
海天瑞声 SpeechOcean/DataOcean AI,字节跳动,科技大厂,客户,智能语音/计算机视觉/NLP数据；可提供文生视频等大模型训练数据,字节跳动一直以来是公司的重要客户，公司为其提供智能语音、计算机视觉以及自然语言等各类数据产品或服务,https://www.cls.cn/detail/1858626,未知（互动平台回复）,媒体报道（财联社，搜索摘要）,中
海天瑞声 SpeechOcean/DataOcean AI,腾讯/阿里/百度/字节跳动,科技大厂,客户,AI训练数据，含大模型相关数据服务,腾讯、阿里、百度、字节跳动等互联网头部企业一直以来都是公司所服务的重要客户,https://finance.sina.com.cn/stock/relnews/cn/2023-04-03/doc-imypahkp3343299.shtml,2023-04-03,媒体报道（互动平台回复转载）,低
海天瑞声 SpeechOcean/DataOcean AI,微软,frontier lab,财报披露,多语种语音等训练数据（2018-2020前五大客户）,微软、阿里巴巴、腾讯、三星稳居前五大客户，微软销售占比逐年提升,https://www.thepaper.cn/newsDetail_forward_21991574,2023-02,媒体报道（引招股书，搜索摘要）,低
海天瑞声 SpeechOcean/DataOcean AI,三星,企业,客户变动（停止合作等）,语音数据；2020年销售额大幅下滑,三星销售额从2019年的4762.96万元骤降至2020年的1383.66万元,https://www.thepaper.cn/newsDetail_forward_21991574,2023-02,媒体报道（引招股书，搜索摘要）,低
海天瑞声 SpeechOcean/DataOcean AI,亚马逊,科技大厂,财报披露,2019年前五大客户,2019年位居前五大客户榜单企业为三星、微软、阿里巴巴、亚马逊、腾讯,https://www.jiemian.com/article/6480308.html,2021-08,媒体报道（引招股书，搜索摘要）,低
海天瑞声 SpeechOcean/DataOcean AI,中国科学院自动化研究所,高校研究机构,合作,大模型数据处理技术、大模型数据集供给、大模型评测,已与中国科学院自动化研究所、澜舟科技、智谱AI等大模型领域知名机构签署了合作协议,https://finance.sina.com.cn/7x24/2024-03-15/doc-inankyam8455420.shtml,2024-03-15,媒体报道（互动平台回复，搜索摘要）,中
海天瑞声 SpeechOcean/DataOcean AI,澜舟科技,国内大模型公司,合作,大模型数据处理技术、大模型数据集供给、大模型评测,已与中国科学院自动化研究所、澜舟科技、智谱AI等大模型领域知名机构签署了合作协议,https://finance.sina.com.cn/7x24/2024-03-15/doc-inankyam8455420.shtml,2024-03-15,媒体报道（互动平台回复，搜索摘要）,中
海天瑞声 SpeechOcean/DataOcean AI,智谱AI,国内大模型公司,合作,大模型数据处理技术、大模型数据集供给、大模型评测,已与中国科学院自动化研究所、澜舟科技、智谱AI等大模型领域知名机构签署了合作协议,https://finance.sina.com.cn/7x24/2024-03-15/doc-inankyam8455420.shtml,2024-03-15,媒体报道（互动平台回复，搜索摘要）,中
海天瑞声 SpeechOcean/DataOcean AI,中国信通院,政府,合作,大模型数据处理技术、大模型数据集供给、大模型评测,已与中国科学院自动化研究所、澜舟科技、智谱AI等大模型领域知名机构签署了合作协议,https://finance.sina.com.cn/7x24/2024-03-15/doc-inankyam8455420.shtml,2024-03-15,媒体报道（互动平台回复，搜索摘要）,中
海天瑞声 SpeechOcean/DataOcean AI,循环智能,AI 应用公司,共建基准,高质量中文大模型训练数据集共建项目,携手中科院自动化所、中国信通院泰尔实验室、智谱AI、澜舟科技、循环智能…打造高质量中文大模型训练数据集共建项目,https://news.sina.cn/sx/2023-07-04/detail-imyzpftt1007246.d.html,2023-07-04,媒体报道,低
海天瑞声 SpeechOcean/DataOcean AI,人形机器人数据训练中心（北京石景山）,其他,合作,具身智能数据训练场：数据资源开发、训练中心建设,海天瑞声…与人形机器人数据训练中心负责人郑随兵共同为训练场揭牌,http://jjckb.xinhuanet.com/20250818/8f557e281a1c4d6b9d23921f76a93bb2/c.html,2025-08-18,媒体报道（经济参考报）,中
海天瑞声 SpeechOcean/DataOcean AI,乐聚机器人,垂直 AI,合作,人形机器人数据采集、训练场落地、数据标准,双方将在数据采集、训练场落地、数据标准制定及供应链建设等方面开展深入合作,https://www.takefoto.cn/news/2025/09/26/11324530.shtml,2025-09-26,媒体报道（北晚在线）,中
海天瑞声 SpeechOcean/DataOcean AI,觅蜂科技（蜂巢数据共创行动）,垂直 AI,合作,物理AI/具身智能数据规模化采集与治理,海天瑞声作为生态伙伴正式加入觅蜂科技的蜂巢数据共创行动,https://news.pedaily.cn/202605/564205.shtml,2026-05,媒体报道（投资界）,中
