供应商,类型,规模,地区,官网,简介,主要领域,收录声明数
Scale AI,人类数据/专家网络/标注平台/评测/综合,大,美国,scale.com,数据标注与后训练数据龙头；依据：2025.6 Meta 以 143 亿美元购入 49% 股权、估值约 290 亿美元；2026 年收入预计约 10 亿美元，之后多家实验室减少合作，重心转向政府与企业,RLHF/SFT 数据、评测（SEAL/HLE）、国防与主权 AI,32
Mercor,人类数据/专家网络/RL 环境/评测,大,美国,mercor.com,专家网络（律师、医生、银行家等）；依据：2025.10 C 轮估值 100 亿美元，2026.6 年化总收入 20 亿美元，Nvidia 洽谈以 200 亿美元估值入股,专业领域专家数据、RL 环境、APEX 评测,30
光轮智能 Lightwheel,合成数据,大,中国（北京）/美国,https://lightwheel.ai,前英伟达/Cruise仿真负责人谢晨创立的具身智能仿真与合成数据公司，2026年3月完成10亿元融资成为具身数据独角兽（估值约20亿美元），2025年营收破亿,具身智能仿真资产、合成数据、机器人策略评测（Isaac Lab-Arena）,27
海天瑞声 SpeechOcean/DataOcean AI,综合,大,中国·北京（688787 科创板）,https://www.haitianruisheng.com/ ; https://dataoceanai.com/,A股首家AI训练数据上市公司，2025年营收3.77亿元（+59%），累计客户超1100家；前五大客户占比46.2%,语音/多语种、CV、NLP、大模型SFT/评测、具身智能数采,26
Snorkel AI,人类数据/专家网络/评测/标注平台,大,美国,snorkel.ai,程序化标注平台转型的专家数据工厂；依据：2026.9 E 轮 3.5 亿美元、估值 35 亿美元，ARR 3.75 亿美元,专家数据、智能体评测基准、金融/保险/法律,26
Bespoke Labs,RL 环境/合成数据/评测,中,美国（Bay Area）,https://bespokelabs.ai/,2024 年由 Mahesh Sathiamoorthy 与 Alex Dimakis 创立，为前沿实验室与企业构建公司级 RL 环境与智能体训练基础设施，开源 Curator、OpenThoughts，参与 Terminal-Bench。规模依据：2026-07 宣布种子+A 轮累计 4000 万美元（Wing VC 领投 A 轮、8VC 领投种子轮）。,智能体 RL 环境、推理数据、评测,26
Surge AI,人类数据/专家网络/RL 环境,大,美国,surgehq.ai,自举起家的 RLHF 数据公司；依据：2024 年收入约 12 亿美元，2025 年 ARR 约 14 亿美元，估值 150–250 亿美元,RLHF、专家偏好数据、RL 环境、基准（AdvancedIF、EnterpriseBench）,25
Vals AI,评测,中,美国（旧金山湾区）,https://www.vals.ai,面向法律、金融、编程、医疗真实任务的独立模型评测与基准平台，发布 Vals Index 和 Legal AI Report；规模依据：2026-08 a16z 领投 $40M A 轮、估值 $400M，累计融资约 $45M。,行业基准（法律/金融/编程）、企业私有评测,21
Gray Swan AI,评测,小,美国,grayswan.ai,红队/越狱竞技场初创，OpenAI 系统卡外部红队。规模依据：早期初创（小）。,越狱红队、安全评测,20
恺望数据,综合,中,北京,（未核）,2022年成立，2026年8月逾亿元战略融资（亦庄产业基金等，具身公司跟投），称单月订单超1500万元,自动驾驶、世界模型、具身智能、大模型数据交易,18
未具名供应商,,,,,,,17
Abaka AI,评测,中,美国帕洛阿尔托/中国,https://www.abaka.ai,A轮800万美元、累计2000万美元；联合发起2077AI开源基金会做基准；疑为整数智能海外品牌（未确认），规模按融资额判为中,多模态数据、专家标注、模型评测、benchmark,16
Toloka,人类数据/专家网络/评测,中,荷兰（原 Yandex 旗下，Nebius 控股）,toloka.ai,众包起家，转向专家数据与智能体评测；依据：2025.5 获 Bezos Expeditions 领投 7200 万美元,安全评测、红队、智能体环境（Toloka Arena、Tendem）,15
Prime Intellect,RL 环境/综合,大,美国（旧金山）,https://www.primeintellect.ai/,开源 RL 全栈（Environments Hub、verifiers、prime-rl、Lab 平台、INTELLECT 系列模型）；2026-07 A 轮 1.3 亿美元、估值 10 亿美元（Radical 领投，NVIDIA/Intel/Dell 跟投），年化收入超 1 亿美元，自称 6000+ 客户、Hub 2500+ 环境。,RL 环境平台/后训练算力,15
龙猫数据,综合,中,北京,https://www.longmaosoft.com,2014年成立，四轮融资（金沙江、KIP、九合），称腾讯核心供应商,图像/语音/文本/视频采集标注、大模型、自动驾驶,14
Turing,人类数据/专家网络/RL 环境,大,美国,turing.com,从远程工程师外包转型为实验室研究加速器；依据：2025.3 E 轮估值 22 亿美元，2024 年 ARR 约 3 亿美元,代码/STEM 数据、RL 环境、评测,14
Patronus AI,评测/人类数据/专家网络,小,美国,patronus.ai,LLM 评测初创；据第三方对 NVIDIA 数据卡的分析，以外部供应商协议为 Nemotron 提供'对话记忆'定制数据。规模依据：A 轮级别（小）。,智能体记忆/长程对话评测与数据,13
AfterQuery,人类数据/专家网络,小,美国,afterquery.com,美国训练数据初创；Forbes 调查称与蚂蚁集团关系密切、与阿里巴巴有采购协议。规模依据：早期初创（小）。,专家数据、训练数据集,13
Irregular,评测,小,以色列/美国,irregular.com,前沿模型网络安全评测公司，出现在 OpenAI GPT-5 系统卡网络能力部分。规模依据：A 轮级别（小）。,网络攻防能力评测,13
晴数智慧 Magic Data,人类数据/专家网络,中,中国·北京,https://www.magicdatatech.cn/,2023年更名，对话式AI数据集，称服务近300家客户,多轮对话、语音、座舱交互数据,13
Haize Labs,评测,小,美国,haizelabs.com,自动化红队初创，OpenAI o1 外部测试方。规模依据：种子期（小）。,红队测试,12
曼孚科技 MindFlow,标注平台,中,杭州,https://www.mindflow.com.cn,2025年7月B+++轮近亿元（嘉远资本），近三年累计融资超数亿元,自动驾驶3D/4D点云、大模型、具身智能,11
标贝科技 DataBaker,综合,中,中国·北京,https://www.data-baker.com/,语音合成+AI数据服务，B2轮超亿元融资，称服务客户超3000家,语音合成/识别数据、语音大模型预训练数据,10
Invisible Technologies,人类数据/专家网络/综合,大,美国,invisibletech.ai,RLHF 数据加企业 AI 服务；依据：2024 年收入 1.34 亿美元，2025.9 融资 1 亿美元、估值 20 亿美元以上,RLHF、多语言、企业智能体,10
Centific,人类数据/综合/合成数据,中,美国,centific.com,AI 数据铸造平台；依据：2025.6 A 轮 6000 万美元,SFT/RLHF、红队、合成数据、多模态,10
Proximal,RL 环境/评测,小,美国（SF）/印度（班加罗尔）,https://www.proximal.so/,Justus Mattern 等创立的编码数据研究实验室，构建长程编码 RL 环境并发布 FrontierSWE 基准。规模依据：种子轮金额未披露（Scribble Ventures 领投，多家前沿实验室员工天使），2026 年成立。,编码 RL 环境、长程编码基准,10
Prolific,人类数据/专家网络,中,英国,prolific.com,在线被试/众包平台；Google DeepMind 在 Gemini 3 Pro 与 Gemma 2 报告中用于说服力/操纵能力人类实验；Ai2 MultiPref 亦用。规模依据：B 轮后、数十万参与者（中）。,人类被试研究、偏好标注,9
数据堂 Datatang,综合,中,中国·北京（新三板831428，北交所IPO辅导验收2026-06）,https://www.datatang.com/,成品数据集+定制采集标注；2023年营收2.36亿元；2023年起不再披露客户名称（保密条款）,语音、自动驾驶、大模型SFT/安全数据、AI评测、具身智能,9
星尘数据 Stardust,标注平台,中,北京/上海,https://stardust.ai,Rosetta标注平台与MorningStar数据闭环，2023年1月A轮5000万元（华映领投）,自动驾驶、大模型数据/benchmark、行业大模型,9
Handshake AI,人类数据/专家网络,大,美国,joinhandshake.com/ai,校园招聘平台转型的专家数据业务；依据：2026.4 年化总收入约 11 亿美元，净收入约 4.5 亿美元，服务 8 家前沿实验室,学生/研究生/专家 RLHF 与评测,9
