供应商,类型,规模,地区,官网,简介,主要领域,收录声明数
Mechanize,RL 环境/评测,中,美国（旧金山）,https://www.mechanize.work/,前 Epoch AI 研究员于 2025 年创立的编码 agent RL 环境与评测公司；2026-04 披露种子轮 910 万美元（估值约 5 亿美元，Nat Friedman、Daniel Gross、Patrick Collison 等），2026-09 与 Google 完成逾 15 亿美元人才+授权交易，Besiroglu 等 12+ 人加入 DeepMind，公司仍独立存续。,编码 RL 环境,5
Prime Intellect,RL 环境/综合,大,美国（旧金山）,https://www.primeintellect.ai/,开源 RL 全栈（Environments Hub、verifiers、prime-rl、Lab 平台、INTELLECT 系列模型）；2026-07 A 轮 1.3 亿美元、估值 10 亿美元（Radical 领投，NVIDIA/Intel/Dell 跟投），年化收入超 1 亿美元，自称 6000+ 客户、Hub 2500+ 环境。,RL 环境平台/后训练算力,10
AfterQuery,人类数据/专家网络/RL 环境/评测,大,美国（旧金山）,https://www.afterquery.com/,YC W25 专家数据公司（金融、软件、医疗、法律近 10 万名专家）；2026-04 A 轮 3000 万美元、估值 3 亿美元（Altos 领投），年化收入超 1 亿美元；2026-09 据报新一轮估值 32 亿美元。,专家数据/金融与编码,7
Datacurve,人类数据/专家网络/评测,中,美国（旧金山）,https://datacurve.ai/,YC W24 编码训练数据公司，通过 Shipd 悬赏平台收集数据；累计融资约 1770 万美元（2025-10 A 轮 1500 万美元，Chemistry 领投），2026-05 发布 DeepSWE 基准。,编码数据与评测,4
Halluminate,RL 环境/评测/人类数据/专家网络,小,美国（旧金山）,https://www.halluminate.ai/,YC S25，2024 年创立，面向电脑使用/浏览器 agent 的沙盒环境与基准（WebBench、Westworld），2026 年转向金融服务 RL 环境；融资未官宣（目录称约 16 万–50 万美元）。,金融服务 RL 环境/浏览器 agent 基准,4
Fleet,RL 环境,中,美国（旧金山/纽约）,https://www.fleetai.com/,2024 年创立，复刻 Salesforce、Excel 等企业软件的 RL 环境；此前股权融资 1500 万美元（Sequoia、Menlo、SV Angel），2026-04 据 The Information 洽谈由 Bain Capital Ventures 领投 5000 万美元、估值约 7.5 亿美元，年化收入约 6000 万美元；约 40 人。,企业软件/电脑使用 RL 环境,2
Deeptune,RL 环境,中,美国（纽约）,https://deeptune.com/,纽约约 20 人团队，复刻 Excel/Salesforce/Slack 等企业应用的 RL 训练环境；2026-03 a16z 领投 4300 万美元 A 轮，2026-07 被 Mercor（估值 100 亿美元）收购。,企业工作流 RL 环境,6
Plato,RL 环境,小,美国（旧金山）,https://plato.so/,2025 年创立，为浏览器/电脑使用 agent 构建模拟网站与桌面的 RL 环境；约 10 人，仅披露 Pre-Seed（金额未公开）。,浏览器/电脑使用模拟环境,0
Veris AI,RL 环境/评测,小,美国（纽约）,https://veris.ai/,企业 agent 模拟训练与测试平台；2025-06 种子轮 850 万美元（Decibel、Acrew 领投），公开案例仅提及一家未具名制造商。,企业 agent 模拟环境,2
Matrices,RL 环境,小,美国（旧金山）,未知,面向电脑使用/浏览器 agent 的 RL 训练环境（“游戏化互联网复刻”）；种子轮约 500 万美元（Index Ventures）。,浏览器/电脑使用 RL 环境,1
HUD,RL 环境/评测,中,美国（旧金山）,https://www.hud.ai/,YC W25，开源 SDK+云平台构建 RL 环境与评测；2026 年 A 轮 1600 万美元（Standard Capital 领投），自称 50+ 企业用其构建并向 AI 实验室出售环境；约 15 人。,电脑使用 RL 环境/评测平台,9
Bespoke Labs,RL 环境/合成数据/评测,中,美国（Bay Area）,https://bespokelabs.ai/,2024 年由 Mahesh Sathiamoorthy 与 Alex Dimakis 创立，为前沿实验室与企业构建公司级 RL 环境与智能体训练基础设施，开源 Curator、OpenThoughts，参与 Terminal-Bench。规模依据：2026-07 宣布种子+A 轮累计 4000 万美元（Wing VC 领投 A 轮、8VC 领投种子轮）。,智能体 RL 环境、推理数据、评测,19
Collinear AI,RL 环境/合成数据/评测,中,美国（Sunnyvale/SF）,https://www.collinear.ai/,Nazneen Rajani（前 Hugging Face/Salesforce）2023 年创立的仿真实验室，构建企业工作流 RL 环境、verifier、合成后训练数据与红队评测。规模依据：融资额未公开（Tracxn 显示仅一轮），自称服务全球前四大 AI 实验室中的三家及 Amazon。,企业工作流仿真、RL 环境、AI 安全评测,7
Adaptive ML,综合,中,美国（纽约）/法国（巴黎）,https://www.adaptive-ml.com/,Falcon 团队（前 Hugging Face）创立的企业 RLOps 平台 Adaptive Engine，帮企业用 RL 微调开源小模型；2026-06 被 Datadog 收购。规模依据：2024-03 获 Index Ventures 领投 2000 万美元种子轮，估值约 1 亿美元，已被 Datadog 收购。,企业 RL 微调平台（RLOps）,8
Preference Model,RL 环境,小,美国（SF）,https://www.preferencemodel.com/,创始团队来自 Anthropic、Stripe、Datology，为前沿实验室构建 ML 研究类 RL 环境，闭源独家供给。规模依据：种子阶段，少于 20 人，仅服务 1–3 家客户（SemiAnalysis 转述）。,ML 研究任务 RL 环境,2
Sepal AI,人类数据/专家网络/评测/RL 环境,小,美国（SF）,https://www.ycombinator.com/companies/sepal-ai,YC 孵化的数据研发公司（前 Vercel/Turing 成员创立），做专家基准、评测与 RL 环境；2026-02 被 Mercor 收购。规模依据：2024-09 种子轮约 50 万美元（YC 等），已被 Mercor 收购。,专家数据、基准评测、RL 环境,3
Proximal,RL 环境/评测,小,美国（SF）/印度（班加罗尔）,https://www.proximal.so/,Justus Mattern 等创立的编码数据研究实验室，构建长程编码 RL 环境并发布 FrontierSWE 基准。规模依据：种子轮金额未披露（Scribble Ventures 领投，多家前沿实验室员工天使），2026 年成立。,编码 RL 环境、长程编码基准,10
Calaveras,RL 环境/合成数据,小,美国（SF）,https://calaveras.ai/,提供代码预训练数据集与 STEM/白领任务 RL 环境，自称代码数据卖给头部六家中的四家 AI 公司。规模依据：融资与人数均未公开，按公开信息推断为小型公司。,代码预训练数据、STEM/白领 RL 环境,2
Vmax,RL 环境,小,美国（SF）,https://vmax.ai/,UCL/UPenn RL 博士 2025 年创立，将企业专有数据与评测自动转换为 RL 环境，发布 unix-ctf。规模依据：约 11 人，Race Capital 与 South Park Commons 投资，金额未公开。,专有数据转 RL 环境、编码/长程任务,2
Habitat,RL 环境,小,美国（纽约）,未知,纽约早期 RL 环境供应商，聚焦白领工作自动化的代码与桌面（computer-use）环境。规模依据：2–10 人，未见公开融资或客户信息。,代码与 computer-use RL 环境,0
Refresh,RL 环境,小,美国（SF）,https://www.ycombinator.com/companies/refresh,YC X25 公司，将真实工作流转化为编码与 computer-use 训练 gym，自称与前沿实验室合作。规模依据：YC 批次公司，融资额未公开。,编码/computer-use RL 环境,3
Andromede,RL 环境,小,瑞士（洛桑）,https://andromede.ai/,2025 年成立的 RL 数据实验室，从真实数据程序化生成长程任务环境、任务与 verifier，处于私测阶段。规模依据：早期阶段，Unusual Ventures 支持（第三方转述），金额未公开。,长程推理 RL 环境生成,1
General Reasoning,RL 环境/评测,小,英国（伦敦）/美国实体,https://www.gr.inc/,Ross Taylor（前 Meta Galactica 负责人）创立的研究实验室，运营 OpenReward 开放 RL 环境平台（330+ 环境）与 ORS 标准。规模依据：2025-07 SEC Form D 显示约 1090 万美元股权融资。,开放 RL 环境平台与标准,8
