供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度
Scale AI,OpenAI,frontier lab,客户变动（停止合作等）,人类数据/标注,OpenAI is winding down its work with Scale AI... had been pulling back over the last six to 12 months,https://www.cnbc.com/2025/06/18/openai-is-winding-down-its-work-with-scale-ai-founder-is-joining-meta.html,2025-06-18,媒体报道,中
Scale AI,OpenAI,frontier lab,客户变动（停止合作等）,人类数据/标注,OpenAI drops Scale AI as a data provider following Meta deal,https://techcrunch.com/2025/06/18/openai-drops-scale-ai-as-a-data-provider-following-meta-deal/,2025-06-18,媒体报道,中
Scale AI,Google,科技大厂,客户变动（停止合作等）,人类数据/标注（Gemini）,Google paused multiple Scale AI projects within hours of the announcement of the Meta deal,https://pureai.com/articles/2025/06/20/meta-invests-in-scale-ai-while-openai-and-google-step-back.aspx,2025-06-20,媒体报道（转述 Reuters/BI）,中
Scale AI,xAI,frontier lab,客户变动（停止合作等）,人类数据/标注,"Google, OpenAI, xAI pause projects with Scale AI",https://www.linkedin.com/posts/businessinsider_google-scaleai-meta-activity-7341221356211990529-SaBj,2025-06,媒体报道（Business Insider，搜索摘要）,低
Scale AI,xAI,frontier lab,客户,对话质量提示词数据（Project Xylophone）,"'Project Xylophone,' which featured 700 prompts designed to improve conversation quality",https://www.techrepublic.com/article/news-scale-ai-security-lapse-google-docs-meta-xai/,2025-06,媒体报道（转述 Business Insider）,中
Scale AI,Google,科技大厂,客户,Bard 训练指导手册/标注,"At least seven confidential instruction manuals were exposed for Google, detailing specific issues with Bard",https://www.techrepublic.com/article/news-scale-ai-security-lapse-google-docs-meta-xai/,2025-06,媒体报道（转述 Business Insider）,中
Scale AI,Meta,科技大厂,投资方,49% 股权投资；语音标注等,Meta invested $14.3 billion into Scale AI and acquired a 49% stake,https://www.forbes.com/sites/janakirammsv/2025/06/23/meta-invests-14-billion-in-scale-ai-to-strengthen-model-training/,2025-06-23,媒体报道,中
Scale AI,Meta TBD Labs,科技大厂,客户变动（停止合作等）,后训练数据（研究员偏好其他供应商）,Researchers in TBD Labs see Scale AI's data as low quality and have expressed a preference to work with Surge and Mercor,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai/,2025-08-29,媒体报道,中
Surge AI,Meta TBD Labs,科技大厂,客户,后训练数据,TBD Labs is working with third-party data labeling vendors other than Scale AI... including Mercor and Surge,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai/,2025-08-29,媒体报道,中
Mercor,Meta TBD Labs,科技大厂,客户,后训练数据,Meta had been working with Mercor and Surge since before TBD Labs was spun up,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai/,2025-08-29,媒体报道,中
Scale AI,Microsoft,科技大厂,客户变动（停止合作等）,标注,"OpenAI, Microsoft and xAI followed to varying degrees",https://www.datastudios.org/post/google-openai-and-microsoft-end-partnerships-with-scale-ai-after-meta-investment,2025-06,二手汇总,低
Surge AI,Meta Superintelligence Labs,科技大厂,共建基准,AdvancedIF 指令遵循基准；人写 rubric 做 RL 奖励,Meta Superintelligence Labs partnered with Surge to build AdvancedIF... every prompt and rubric was written by human experts,https://surgehq.ai/blog/advancedif-and-the-evolution-of-instruction-following-benchmarks,2025,供应商博客,高
Mercor,Meta,科技大厂,客户变动（停止合作等）,数据泄露后暂停合作,Meta has indefinitely paused work with $10B AI data startup Mercor after a LiteLLM supply chain attack,https://thenextweb.com/news/meta-mercor-breach-ai-training-secrets-risk,2026-04,媒体报道,中
Mercor,OpenAI,frontier lab,客户,数据泄露后调查但未停止项目,OpenAI has not stopped current projects with Mercor but is investigating whether proprietary training data may have been exposed,https://www.benzinga.com/markets/tech/26/04/51652163/meta-halts-mercor-work-breach-openai-investigates-report,2026-04,媒体报道（转述）,中
