分段,被投公司,赛道,轮次,金额,日期,领投方,跟投方,来源链接,置信度
海外,Scale AI,人类数据/专家网络,F 轮（含老股）,$1B（估值 $13.8B）,2024-05-21,Accel,Amazon；Meta；Cisco Investments；DFJ Growth；Intel Capital；ServiceNow Ventures；AMD Ventures；WCM；Elad Gil；NVIDIA；Y Combinator；Nat Friedman；Index；Founders Fund；Coatue；Thrive；Spark；Tiger Global；Greenoaks；Wellington,https://www.businesswire.com/news/home/20240521674964/en/Scale-AI-Raises-$1-Billion-Series-F-to-Push-The-Frontier-of-AI-Data,高（搜索摘要）
海外,Scale AI,人类数据/专家网络,战略投资（49% 无投票权股权）,约 $14.3B（隐含估值约 $29B）,2025-06,Meta,无,https://scale.com/blog/scale-ai-announces-next-phase-of-company-evolution,中（搜索摘要）
海外,Mercor,人类数据/专家网络,种子轮,$3.6M,2023,General Catalyst,未找到,https://techcrunch.com/2025/02/20/mercor-an-ai-recruiting-startup-founded-by-21-year-olds-raises-100m-at-2b-valuation/,中（搜索摘要）
海外,Mercor,人类数据/专家网络,A 轮,$32M（估值 $250M）,2024,Benchmark,未找到,https://techcrunch.com/2025/02/20/mercor-an-ai-recruiting-startup-founded-by-21-year-olds-raises-100m-at-2b-valuation/,中（搜索摘要）
海外,Mercor,人类数据/专家网络,B 轮,$100M（估值 $2B）,2025-02-20,Felicis,General Catalyst；Benchmark；DST Global Partners；Menlo Ventures,https://www.mercor.com/blog/series-b/,高（搜索摘要）
海外,Mercor,人类数据/专家网络,C 轮,$350M（估值 $10B）,2025-10-27,Felicis,Benchmark；General Catalyst；Robinhood Ventures,https://techcrunch.com/2025/10/27/mercor-quintuples-valuation-to-10b-with-350m-series-c/,高（搜索摘要）
海外,Mercor,人类数据/专家网络,新一轮（洽谈中，未确认完成）,约 $500M（估值约 $20B）,2026-07-09 报道,据报 General Catalyst 洽谈领投,据报 NVIDIA 洽谈参与,https://techcrunch.com/2026/07/09/mercor-is-in-talks-for-a-20b-valuation/,中（领投/跟投细节为低，搜索摘要）
海外,Sepal AI,人类数据/专家网络,被 Mercor 收购,未披露,2026-02,Mercor（收购方）,此前投资方：186 Ventures；Global Founders Capital；One Way Ventures；Village Global；Y Combinator,https://www.rl-list.com/vendors/sepal-ai,低（搜索摘要）
海外,Turing,人类数据/专家网络,E 轮,$111M（投后 $2.2B）,2025-03-06,Khazanah Nasional,WestBridge Capital；Sozo Ventures；Foundation Capital；StepStone Group；AltaIR Capital；Amino Capital；Plug and Play,https://www.businesswire.com/news/home/20250306942806/en/Turing-Gears-Up-to-Power-Next-Wave-of-AGI-with-$111-Million-in-Series-E,高（搜索摘要）
海外,Invisible Technologies,人类数据/专家网络,成长轮,$100M（估值 >$2B）,2025-09-16,Vanara Capital,Princeville Capital；HOF Capital；Freestyle VC；Rocketeer；Tallwoods Capital；Acrew Capital；Greycroft；Backed VC；BY Ventures；Deepwater Asset Management,https://www.businesswire.com/news/home/20250916425748/en/Invisible-Technologies-Raises-$100-Million-to-Power-the-Next-Generation-of-AI-Infrastructure-for-the-Enterprise,高（搜索摘要）
