供应商,类型,规模,地区,官网,简介,主要领域,收录声明数
海天瑞声 SpeechOcean/DataOcean AI,综合,大,中国·北京（688787 科创板）,https://www.haitianruisheng.com/ ; https://dataoceanai.com/,A股首家AI训练数据上市公司，2025年营收3.77亿元（+59%），累计客户超1100家；前五大客户占比46.2%,语音/多语种、CV、NLP、大模型SFT/评测、具身智能数采,26
光轮智能 Lightwheel,合成数据,大,中国（北京）/美国,https://lightwheel.ai,前英伟达/Cruise仿真负责人谢晨创立的具身智能仿真与合成数据公司，2026年3月完成10亿元融资成为具身数据独角兽（估值约20亿美元），2025年营收破亿,具身智能仿真资产、合成数据、机器人策略评测（Isaac Lab-Arena）,19
标贝科技 DataBaker,综合,中,中国·北京,https://www.data-baker.com/,语音合成+AI数据服务，B2轮超亿元融资，称服务客户超3000家,语音合成/识别数据、语音大模型预训练数据,10
数据堂 Datatang,综合,中,中国·北京（新三板831428，北交所IPO辅导验收2026-06）,https://www.datatang.com/,成品数据集+定制采集标注；2023年营收2.36亿元；2023年起不再披露客户名称（保密条款）,语音、自动驾驶、大模型SFT/安全数据、AI评测、具身智能,9
Abaka AI（2077AI）,评测,中,美国帕洛阿尔托/中国,https://www.abaka.ai,A轮800万美元、累计2000万美元；联合发起2077AI开源基金会做基准；疑为整数智能海外品牌（未确认），规模按融资额判为中,多模态数据、专家标注、模型评测、benchmark,9
晴数智慧 Magic Data（原爱数智慧）,人类数据/专家网络,中,中国·北京,https://www.magicdatatech.cn/,2023年更名，对话式AI数据集，称服务近300家客户,多轮对话、语音、座舱交互数据,8
恺望数据,综合,中,北京,（未核）,2022年成立，2026年8月逾亿元战略融资（亦庄产业基金等，具身公司跟投），称单月订单超1500万元,自动驾驶、世界模型、具身智能、大模型数据交易,8
龙猫数据,综合,中,北京,https://www.longmaosoft.com,2014年成立，四轮融资（金沙江、KIP、九合），称腾讯核心供应商,图像/语音/文本/视频采集标注、大模型、自动驾驶,7
曼孚科技 MindFlow,标注平台,中,杭州,https://www.mindflow.com.cn,2025年7月B+++轮近亿元（嘉远资本），近三年累计融资超数亿元,自动驾驶3D/4D点云、大模型、具身智能,6
UniPat AI,评测,大,中国（杭州/北京）,https://unipat.ai,2025年底成立，创始人李宽曾在阿里通义做后训练/数据合成/RL；设计贴近真实场景的评测与训练数据；2026年9月传阿里领投3亿美元、估值25亿美元,Agent/Computer-use 基准（SaaS-Bench、BabyVision 等）、后训练数据、预测智能,6
星尘数据 Stardust,标注平台,中,北京/上海,https://stardust.ai,Rosetta标注平台与MorningStar数据闭环，2023年1月A轮5000万元（华映领投）,自动驾驶、大模型数据/benchmark、行业大模型,5
