被投公司,赛道,轮次,金额,日期,领投方,跟投方,来源链接,置信度
光轮智能 Lightwheel,合成数据/具身仿真与评测,种子轮/天使轮/天使+轮,累计数千万元,2023,未披露,SEE Fund；奇绩创坛；辰韬资本；变量资本,https://www.chinaventure.com.cn/news/80-20230725-376363.html,中
光轮智能 Lightwheel,合成数据/具身仿真与评测,Pre-A轮,数千万元,2024-05,经纬创投,奇绩创坛；辰韬资本,https://startup.aliyun.com/info/1085453.html,中
光轮智能 Lightwheel,合成数据/具身仿真与评测,Pre-A+轮,数千万元,2024-10,北京市人工智能产业投资基金（主导）,经纬创投,https://36kr.com/p/3014453094966792,中
光轮智能 Lightwheel,合成数据/具身仿真与评测,A轮及A+轮,数亿元,2025-11-19,未披露（联合投资）,东方富海；三七互娱；琥珀资本；九派资本；辰韬资本（加注）；华兴资本任独家财务顾问,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,中
光轮智能 Lightwheel,合成数据/具身仿真与评测,A++轮及A+++轮,10亿元,2026-03-11,未披露,新希望集团；鼎邦投资；奥克斯；鼎石资管；建投华科；国方创新；道禾长期投资；清新资本,https://www.jiemian.com/article/14098498.html,中
光轮智能 Lightwheel,合成数据/具身仿真与评测,新一轮（媒体称B轮）,未披露；投后估值超20亿美元,2026-05-26,蚂蚁集团,建投投资；大湾区共同家园基金；森马方道基金；山东孚弘；芯能投资；临芯投资；老股东三七互娱、国方创新、道禾长期投资、鼎石资管超额跟投,https://news.pedaily.cn/202605/564400.shtml,中
光轮智能 Lightwheel,合成数据/具身仿真与评测,战略融资,10亿元,2026-06-23,中关村科学城基金；四川发展科创基金；山东发展科创投（政府基金领衔）,未披露,https://finance.sina.com.cn/stock/aigcy/2026-06-26/doc-inietfxw5260308.shtml,中
UniPat AI,评测/RL后训练数据,早期轮（轮次未披露）,未披露,2025末–2026,未披露,红杉中国（报道称其为原有投资者）,https://www.bloomberg.com/news/articles/2026-09-10/alibaba-backs-ex-staffer-s-ai-testing-lab-at-2-5-billion-value,低
UniPat AI,评测/RL后训练数据,A轮（谈判中，未落定）,3亿美元；估值约25亿美元,2026-09-10,阿里巴巴,腾讯；红杉中国（HSG）,https://www.bloomberg.com/news/articles/2026-09-10/alibaba-backs-ex-staffer-s-ai-testing-lab-at-2-5-billion-value,中
智能知识（一面千识）,专家数据/后训练数据,种子轮,未披露,2026年6月前,未披露,五源资本；奇绩创坛,https://news.qq.com/rain/a/20260608A079S700,中
智能知识（一面千识）,专家数据/后训练数据,天使轮,未披露,2026-06,锦秋基金、耀途资本（联合投资）,无,https://zhuanlan.zhihu.com/p/2044128857192714401,高
Copula Lab,RL环境/专家数据/评测,首轮,未披露；报道称估值数千万美元,2026-08,未披露（报道称一线机构）,未披露,https://www.preqin.com/data/profile/asset/copula-lab/813711,低
TalentsAI（原壤智能）,专家数据,天使轮,未披露,未核,未披露,红杉中国等（官网另称获今日资本投资，未核）,https://vc.pedaily.cn/company/891792.html,低
觅蜂科技（智元旗下）,具身数据平台,种子轮及天使轮,数亿元,2026-02-13,红杉中国,鼎晖VGC；BV百度风投；云锋基金；慕华科创；均普智能；灵初智能,https://finance.sina.com.cn/tech/2026-02-13/doc-inhmrtih2227139.shtml,中
觅蜂科技（智元旗下）,具身数据平台,天使+轮,数亿元,2026-06-17,国方创投,孚腾资本；上海电科基金；元启创新；均普智能；鼎晖VGC,https://news.pedaily.cn/202606/565296.shtml,中
觅蜂科技（智元旗下）,具身数据平台,新一轮,数亿元,2026-08-17,中国电信,张江集团；红杉中国；元启创新,https://finance.sina.com.cn/tech/roll/2026-08-17/doc-ininrkkm6875749.shtml,中
简智机器人,具身数据,种子轮,未披露,2025-08,BV百度风投,Momenta；九识智能；星海图,https://finance.sina.com.cn/cj/2025-12-18/doc-inhcetxr8714763.shtml,中
简智机器人,具身数据,种子+轮,未披露,2025,速腾聚创,BV百度风投,https://finance.sina.com.cn/cj/2025-12-18/doc-inhcetxr8714763.shtml,中
简智机器人,具身数据,天使轮,三轮合计超2亿元,2025-12,顺为资本,初心资本；BV百度风投,https://www.sohu.com/a/966588070_439726,中
简智机器人,具身数据,连续多轮,数亿元,2026-06-01,蚂蚁集团；滴滴；德联资本,顺为资本；BV百度风投；九识智能,https://news.pedaily.cn/202606/564671.shtml,中
简智机器人,具身数据,A轮,未披露；累计融资超2亿美元,2026-08-27,Momenta,老股东,https://news.qq.com/rain/a/20260827A05L5C00,中
枢途科技,具身数据,天使轮,数百万元,未核,奇绩创坛,无,https://finance.ifeng.com/c/8f4Fd8VWtiB,低
枢途科技,具身数据,天使++轮,数千万元,2026,未披露,麟阁创投；深圳高新投；某手机与智驾产业方,https://news.pedaily.cn/202608/568029.shtml,低
枢途科技,具身数据,Pre-A轮,近亿元,2026-09-18,鼎晖百孚；鲲鹏基金,广州产投；亿合资本；趋势投资,https://news.pedaily.cn/202609/569233.shtml,中
智域基石,具身数据,天使轮,数千万元,2026-04,未披露,灵初智能；穹彻智能；浙江人形；智平方,https://finance.sina.com.cn/cj/2026-04-17/doc-inhuupte2269460.shtml,低
恺望数据,具身/自动驾驶数据,Pre-A轮,数千万元,约2023,亚盛投资,未披露,https://startup.aliyun.com/info/1062313.html,中
恺望数据,具身/自动驾驶数据,战略融资,逾亿元,2026-08-04,北京亦庄产业升级基金；华方资本；天际资本,新鼎资本；迈睿资管；兴华鼎立；华章投资；伦达川润；鹿明机器人；松延动力；自变量机器人；觅蜂科技；老股东亚盛、清智资本、璞跃资本,https://news.pedaily.cn/202608/567244.shtml,高
博登智能 Boden AI,数据服务/Physical AI 数据,A轮,亿元,2025-06-10,国和投资（独家）,无,https://finance.sina.com.cn/jjxw/2025-06-10/doc-inezpuqn5913559.shtml,中
博登智能 Boden AI,数据服务/Physical AI 数据,A+轮及A++轮,数亿元,2026-06-01,未披露（联合投资）,鼎晖百孚；清新资本；鲁信创投；深产投,https://www.chinaventure.com.cn/news/113-20260601-391660.html,中
整数智能 MolarData,数据标注/数据工程,Pre-A轮,数千万元,约2023,未披露,翊宙资本；藕舫天使；安益盛银；图灵启真,https://36kr.com/p/2260278268751749,低
整数智能 MolarData,数据标注/数据工程,A轮,数千万元,2024-08-12,峰瑞资本,藕舫天使,https://www.chinaventure.com.cn/news/80-20240813-382497.html,高
Abaka AI（2077AI）,多模态数据/评测,A轮,800万美元；累计2000万美元,2026-05,未披露,Spinel Capital（尖晶资本）；Future Value Capital,https://finance.yahoo.com/sectors/technology/articles/abaka-ai-secures-8m-expand-140242975.html,中
星尘数据 Stardust,数据标注,A轮,5000万元,2023-01-04,华映资本,厚天资本；瑞夏资本,https://www.chinaventure.com.cn/news/108-20230104-373008.html,中
