供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度
Mechanize,Anthropic,frontier lab,客户,编码 RL 环境,"Mechanize has already been working with Anthropic on RL environments, according to two sources familiar with the matter; both declined to comment.（搜索摘要）",https://techcrunch.com/2025/09/21/silicon-valley-bets-big-on-environments-to-train-ai-agents/,2025-09-21,媒体报道,中
Mechanize,Anthropic,frontier lab,客户,编码 RL 环境与评测,Named customers include Anthropic.（搜索摘要）,https://www.rl-list.com/vendors/mechanize,未知,第三方目录,低
Mechanize,Google DeepMind,frontier lab,合作,人才收购+技术授权（编码 agent 虚拟工作环境）,Google has completed a talent acquisition deal with AI coding startup Mechanize valued at more than $1.5 billion... absorbing the startup's core team directly into Google DeepMind（搜索摘要）,https://businesschief.com/news/google-completes-us-1-5bn-deal-for-ai-startup-mechanize,2026-09,媒体报道,中
Mechanize,Google DeepMind,frontier lab,合作,技术授权+人才（模型评测/midtraining）,"Instead of buying the whole company, Google planned to license Mechanize's technology and hire some of its team members to evaluate models.（搜索摘要）",https://startupfortune.com/google-quietly-closes-15-billion-dollar-talent-deal-with-ai-coding-startup-mechanize/,2026-09,媒体报道,低
Mechanize,Google DeepMind,frontier lab,合作,人才转移至 DeepMind,"At least 12 key personnel, including Mechanize co-founder Tamay Besiroglu, have moved to Google DeepMind, with many assigned to midtraining work（搜索摘要）",https://www.benzinga.com/markets/tech/26/09/61752767/google-deepmind-mechanize-ai-talent,2026-09,媒体报道,中
Prime Intellect,Ramp,企业,客户,托管后训练/RL 平台,"The startup's customers include Ramp, Zapier, and Flapping Airplanes, who pay the startup for a hosted version of its tools.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中
Prime Intellect,Zapier,AI 应用公司,客户,托管后训练/RL 平台,"The startup's customers include Ramp, Zapier, and Flapping Airplanes, who pay the startup for a hosted version of its tools.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中
Prime Intellect,Flapping Airplanes,其他,客户,托管后训练/RL 平台（新兴研究实验室 neolab）,"The startup's customers include Ramp, Zapier, and Flapping Airplanes, who pay the startup for a hosted version of its tools.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中
Prime Intellect,NVIDIA (NVIDIA Ventures),科技大厂,投资方,A 轮 1.3 亿美元跟投,"$130 million Series A at a $1 billion valuation... led by Radical Ventures with Nvidia Ventures, Intel Capital, Dell Technologies Capital, and Iconiq.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中
Prime Intellect,Intel (Intel Capital),科技大厂,投资方,A 轮跟投,"led by Radical Ventures with Nvidia Ventures, Intel Capital, Dell Technologies Capital, and Iconiq.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中
Prime Intellect,Dell (Dell Technologies Capital),科技大厂,投资方,A 轮跟投,"led by Radical Ventures with Nvidia Ventures, Intel Capital, Dell Technologies Capital, and Iconiq.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中
Prime Intellect,Parasail,其他,合作,INTELLECT-3 推理服务,"In November 2025, Prime Intellect named Parasail and Nebius as inference providers for INTELLECT-3（搜索摘要）",https://en.wikipedia.org/wiki/Prime_Intellect,2025-11,第三方目录,低
Prime Intellect,Nebius,其他,合作,INTELLECT-3 推理服务,"In November 2025, Prime Intellect named Parasail and Nebius as inference providers for INTELLECT-3（搜索摘要）",https://en.wikipedia.org/wiki/Prime_Intellect,2025-11,第三方目录,低
Prime Intellect,Arcee AI,AI 应用公司,合作,INTELLECT-1 去中心化训练协作,Arcee AI's Role in the INTELLECT-1 Open Source Revolution（搜索摘要）,https://www.arcee.ai/blog/arcee-and-the-intellect-1-2,2024-11,官方博客,中
Prime Intellect,NVIDIA / Arcee / Hugging Face / Allen AI / Z.AI / Qwen（模型提供方）,其他,合作,Lab 平台上可 RL 微调的开源模型,"Lab lets users run reinforcement learning on a wide range of open models from Nvidia, Arcee, Hugging Face, Allen AI, Z AI, Qwen（搜索摘要）",https://www.primeintellect.ai/blog/lab,2026-02,官方博客,低
AfterQuery,NVIDIA,科技大厂,客户,专家数据/RL 环境,"It has named companies such as Nvidia, Legora, and the Korean AI lab Motif Technologies as customers.（搜索摘要）",https://techcrunch.com/2026/09/01/afterquery-reportedly-becomes-y-combinators-fastest-ever-unicorn-now-valued-at-3-2b/,2026-09-01,媒体报道,中
AfterQuery,Legora,垂直 AI,客户,法律领域专家数据,"It has named companies such as Nvidia, Legora, and the Korean AI lab Motif Technologies as customers.（搜索摘要）",https://techcrunch.com/2026/09/01/afterquery-reportedly-becomes-y-combinators-fastest-ever-unicorn-now-valued-at-3-2b/,2026-09-01,媒体报道,中
AfterQuery,Motif Technologies（韩国）,其他,客户,韩国大模型实验室训练数据,"It has named companies such as Nvidia, Legora, and the Korean AI lab Motif Technologies as customers.（搜索摘要）",https://techcrunch.com/2026/09/01/afterquery-reportedly-becomes-y-combinators-fastest-ever-unicorn-now-valued-at-3-2b/,2026-09-01,媒体报道,中
AfterQuery,OpenAI,frontier lab,客户,编码与金融训练数据,AfterQuery... competes with data labeling companies like Mercor to sell training data on coding and finance to AI labs like OpenAI and Anthropic.（搜索摘要）,https://x.com/Forbes/status/2048628245332127754,2026-04,媒体报道,中
AfterQuery,Anthropic,frontier lab,客户,编码与金融训练数据,AfterQuery... competes with data labeling companies like Mercor to sell training data on coding and finance to AI labs like OpenAI and Anthropic.（搜索摘要）,https://x.com/Forbes/status/2048628245332127754,2026-04,媒体报道,中
AfterQuery,主要 frontier labs（未具名，称全部头部实验室为客户）,frontier lab,客户,专家数据（金融/软件/医疗/法律）,The company says that every major lab is now a customer.（搜索摘要）,https://techfundingnews.com/afterquery-30m-series-a-expert-data/,2026-04,媒体报道,低
AfterQuery,Google DeepMind / OpenAI / Anthropic / Meta MSL / Microsoft AI（员工天使）,frontier lab,投资方,A 轮天使跟投,"participation from The Raine Group, Y Combinator, Latitude Capital, BoxGroup, and angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, and Microsoft AI.（搜索摘要）",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,2026-04-09,新闻稿,高
Datacurve,DeepMind / Anthropic / OpenAI（员工天使）,frontier lab,投资方,A 轮天使跟投,"$15 million Series A in October 2025 led by Mark Goldberg at Chemistry, with participation from employees at DeepMind, Vercel, Anthropic and OpenAI.（搜索摘要）",https://homebrew.co/blog/2025/10/10/datacurve-raises-usd15-million-to-deliver-frontier-coding-data-to-help-ai-model-companies-solve-complex-problems,2025-10-10,官方博客,中
Datacurve,Artificial Analysis,其他,合作,DeepSWE 基准被纳入 Coding Agent Index,DeepSWE has already replaced SWE-Bench Pro in the Artificial Analysis Coding Agent Index and has been cited by several frontier model labs（搜索摘要）,https://deepswe.datacurve.ai/blog/deepswe,2026-05,搜索摘要,低
Datacurve,未具名 AI 实验室,frontier lab,客户,编码训练数据（Shipd 悬赏）,"By October 2025, Datacurve had paid more than $1 million in contributor bounties and signed multimillion-dollar contracts with AI labs（搜索摘要）",https://sacra.com/c/datacurve/,2025-10,第三方目录,低
Datacurve,Chemistry,其他,投资方,A 轮 1500 万美元,$15 million Series A in October 2025 led by Chemistry（搜索摘要）,https://techfundingnews.com/datacurve-raises-15m-series-a-chemistry-high-quality-ai-coding-datasets/,2025-10,媒体报道（搜索摘要）,中
Halluminate,OpenAI,frontier lab,客户,电脑使用 agent 环境/数据,"The company counts leading computer use model labs like OpenAI and Anthropic, alongside the two largest browser agent companies, among its customers.（搜索摘要）",https://www.contentedge.com/blog/halluminate-training-data-computer-agents,未知,媒体报道,低
Halluminate,Anthropic,frontier lab,客户,电脑使用 agent 环境/数据,"The company counts leading computer use model labs like OpenAI and Anthropic, alongside the two largest browser agent companies, among its customers.（搜索摘要）",https://www.contentedge.com/blog/halluminate-training-data-computer-agents,未知,媒体报道,低
Halluminate,Skyvern,AI 应用公司,共建基准,Web Bench 浏览器 agent 基准,Launch Announcement: In partnership with Skyvern ... author = {{Halluminate and Skyvern}},https://github.com/Halluminate/WebBench,2025-05,官方博客,高
Halluminate,Skyvern,AI 应用公司,共建基准,Web Bench 浏览器 agent 基准,Web Bench: Compare AI Browser Agents... developed in partnership between Halluminate and Skyvern（搜索摘要）,https://www.skyvern.com/blog/web-bench-a-new-way-to-compare-ai-browser-agents/,2025-05,官方博客,中
Fleet,未具名 frontier labs,frontier lab,客户,企业软件复刻 RL 环境（Salesforce/Excel）,Fleet hit $60M in annualized revenue in April 2026… tracks higher demand from frontier AI labs paying for reinforcement learning environments（搜索摘要）,https://sacra.com/c/fleet/,2026-04,搜索摘要,低
Fleet,Sequoia Capital / Menlo Ventures / SV Angel,其他,投资方,融资,"the company is supported by Sequoia Capital, Menlo Ventures, and SV Angel（搜索摘要）",https://sacra.com/c/fleet/,2026,搜索摘要,低
Deeptune,Mercor,其他,客户变动（停止合作等）,被 Mercor 收购，团队并入纽约办公室,Mercor acquires Deeptune to build AI training environments（搜索摘要）,https://www.mercor.com/blog/mercor-to-acquire-deeptune/,2026-07,官方博客,高
Deeptune,Mercor,其他,客户变动（停止合作等）,被收购；Foody 称收购是其天使投资的主要动机,Foody telling Fortune the future acquisition was 'in a lot of ways the main motivation' for that investment.（搜索摘要）,https://fortune.com/2026/07/09/ai-unicorn-mercor-acquires-deeptune-brendan-foody-investor-a16z-openai-anthropic/,2026-07-09,媒体报道,中
Deeptune,Mercor（Brendan Foody 天使）,其他,投资方,A 轮天使,"angels including Noam Brown (Research, OpenAI), Brendan Foody (CEO, Mercor), and Yash Patil (CEO, Applied Compute).（搜索摘要）",https://deeptune.com/blog/series-a/,2026-03,官方博客,中
Deeptune,OpenAI（Noam Brown 天使）,frontier lab,投资方,A 轮天使,"angels including Noam Brown (Research, OpenAI), Brendan Foody (CEO, Mercor), and Yash Patil (CEO, Applied Compute).（搜索摘要）",https://deeptune.com/blog/series-a/,2026-03,官方博客,中
Deeptune,Applied Compute（Yash Patil 天使）,AI 应用公司,投资方,A 轮天使,"angels including Noam Brown (Research, OpenAI), Brendan Foody (CEO, Mercor), and Yash Patil (CEO, Applied Compute).（搜索摘要）",https://deeptune.com/blog/series-a/,2026-03,官方博客,中
Deeptune,未具名 frontier labs,frontier lab,客户,企业软件复刻 RL 环境（Excel/Salesforce/Slack）,built some of the most sophisticated training environments used by frontier AI labs.（搜索摘要）,https://fortune.com/2026/03/19/andreessen-horowitz-ai-startups-deeptune-series-a/,2026-03-19,媒体报道,低
Veris AI,未具名早期企业客户（金融服务、企业生产力、制造业）,企业,客户,企业 agent 模拟训练环境,"currently working with a select group of early customers across financial services, enterprise productivity, and manufacturing（搜索摘要）",https://www.businesswire.com/news/home/20250603868539/en/Veris-AI-Emerges-from-Stealth-with-$8.5M-to-Train-AI-Agents-Using-Simulated-Experience-Removing-Roadblocks-to-Enterprise-Adoption,2025-06-03,新闻稿（搜索摘要）,中
Veris AI,Decibel Ventures / Acrew Capital,其他,投资方,种子轮 850 万美元,$8.5M in seed funding led by Decibel Ventures and Acrew Capital（搜索摘要）,https://www.businesswire.com/news/home/20250603868539/en/Veris-AI-Emerges-from-Stealth-with-$8.5M-to-Train-AI-Agents-Using-Simulated-Experience-Removing-Roadblocks-to-Enterprise-Adoption,2025-06-03,新闻稿（搜索摘要）,高
Matrices,Index Ventures / AI Grant / Naval Ravikant,其他,投资方,种子轮约 500 万美元,"backed by Index Ventures, AI Grant (Nat Friedman & Daniel Gross), and Naval Ravikant（搜索摘要）",https://www.crunchbase.com/organization/matrices-f9d0,2024-03,第三方目录（搜索摘要）,低
HUD,OpenAI,frontier lab,客户,电脑使用 RL 环境/评测,OpenAI and Anthropic were downgraded from 'verified' to 'self-claimed' customers（搜索摘要）,https://www.rl-list.com/vendors/hud,未知,第三方目录,低
HUD,Anthropic,frontier lab,客户,电脑使用 RL 环境/评测,OpenAI and Anthropic were downgraded from 'verified' to 'self-claimed' customers（搜索摘要）,https://www.rl-list.com/vendors/hud,未知,第三方目录,低
HUD,DoorDash,企业,客户,RL 环境/评测平台,"DoorDash, UiPath, and Sharpe correctly remain self-claimed customers on the RL List's HUD vendor profile（搜索摘要）",https://www.rl-list.com/vendors/hud,未知,第三方目录,低
HUD,UiPath,企业,客户,RL 环境/评测平台,"DoorDash, UiPath, and Sharpe correctly remain self-claimed customers on the RL List's HUD vendor profile（搜索摘要）",https://www.rl-list.com/vendors/hud,未知,第三方目录,低
HUD,Sharpe,其他,客户,RL 环境/评测平台,"DoorDash, UiPath, and Sharpe correctly remain self-claimed customers on the RL List's HUD vendor profile（搜索摘要）",https://www.rl-list.com/vendors/hud,未知,第三方目录,低
HUD,OpenAI,frontier lab,共建基准,Autonomy-10 基准（Operator 发布评测）,"hud.ai environments powered the Autonomy-10 benchmark, which was used to evaluate OpenAI Operator at launch.（搜索摘要）",https://www.hud.ai/resources/best-platforms-publishing-rl-environments-model-labs,未知,官方博客,低
HUD,OpenAI（Roon 天使）,frontier lab,投资方,A 轮 1600 万美元天使,"$16M Series A led by Standard Capital... angel investments from Dylan Patel from SemiAnalysis, Roon from OpenAI, Ivan Burazin from Daytona, and Theo Browne.（搜索摘要）",https://www.hud.ai/blog/announcing-16m-series-a,2026,官方博客,中
HUD,SemiAnalysis（Dylan Patel 天使）,其他,投资方,A 轮天使,"angel investments from Dylan Patel from SemiAnalysis, Roon from OpenAI, Ivan Burazin from Daytona, and Theo Browne.（搜索摘要）",https://www.hud.ai/blog/announcing-16m-series-a,2026,官方博客,中
HUD,Cua,AI 应用公司,合作,电脑使用 agent 评测集成（OSWorld 等）,Cua × HUD - Evaluate Any Computer-Use Agent（搜索摘要）,https://cua.ai/blog/hud-agent-evals,未知,官方博客,中
Bespoke Labs,未具名 frontier labs / neolabs / 企业,frontier lab,客户,RL 环境与智能体训练/评测基础设施,"We work with frontier labs, neolabs, and enterprises to build this infrastructure（搜索摘要）",https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,2026-07-06,新闻稿,中
Bespoke Labs,Anthropic,frontier lab,合作,Terminal-Bench 智能体评测（开源基准被使用，非明确付费客户）,"Terminal-Bench, which Anthropic, OpenAI, and Google DeepMind use for agent evaluation（搜索摘要）",https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,2026-07-06,新闻稿,中
