投资方,被投公司,轮次或说明,原文证据,来源链接,来源日期,置信度
468 Capital,Cua,YC S25；$500K 种子,"$500K in seed funding from 468 Capital, Orange Collective, and Script Capital（搜索摘要）",https://startupintros.com/orgs/cua,2025,低
AI Grant,Matrices,种子轮约 500 万美元,"backed by Index Ventures, AI Grant (Nat Friedman & Daniel Gross), and Naval Ravikant（搜索摘要）",https://www.crunchbase.com/organization/matrices-f9d0,2024-03,低
Acrew Capital,Veris AI,种子轮 850 万美元,$8.5M in seed funding led by Decibel Ventures and Acrew Capital（搜索摘要）,https://www.businesswire.com/news/home/20250603868539/en/Veris-AI-Emerges-from-Stealth-with-$8.5M-to-Train-AI-Agents-Using-Simulated-Experience-Removing-Roadblocks-to-Enterprise-Adoption,2025-06-03,高
Andreessen Horowitz (a16z),Vals AI,A 轮领投 $40M，估值 $400M,Vals AI Raises $40M in Series A Funding at $400M Valuation（搜索摘要）,https://www.finsmes.com/2026/08/vals-ai-raises-40m-in-series-a-funding-at-400m-valuation.html,2026-08,中
Anthropic,AfterQuery,A 轮天使跟投,"participation from The Raine Group, Y Combinator, Latitude Capital, BoxGroup, and angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, and Microsoft AI.（搜索摘要）",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,2026-04-09,高
Anthropic,Bespoke Labs,A 轮个人天使投资,"Backed by Anthropic, OpenAI, and Meta insiders, Bespoke Labs raises $40M（搜索摘要）",https://techfundingnews.com/backed-by-anthropic-openai-and-meta-insiders-bespoke-labs-raises-40m-can-better-environments-beat-bigger-models/,2026-07,中
Anthropic,Datacurve,A 轮天使跟投,"$15 million Series A in October 2025 led by Mark Goldberg at Chemistry, with participation from employees at DeepMind, Vercel, Anthropic and OpenAI.（搜索摘要）",https://homebrew.co/blog/2025/10/10/datacurve-raises-usd15-million-to-deliver-frontier-coding-data-to-help-ai-model-companies-solve-complex-problems,2025-10-10,中
Anthropic,Proximal,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,低
Applied Compute（Yash Patil 天使）,Deeptune,A 轮天使,"angels including Noam Brown (Research, OpenAI), Brendan Foody (CEO, Mercor), and Yash Patil (CEO, Applied Compute).（搜索摘要）",https://deeptune.com/blog/series-a/,2026-03,中
Bezos Expeditions,Toloka,领投 7200 万美元，Parakhin 任执行董事长,Bezos Expeditions is leading a $72-million investment,https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05,高
BoxGroup,Arga Labs,种子轮投资（$10M）,"General Catalyst led Arga's seed round, with BoxGroup, Emergence, Gradient and SV Angel participating（搜索摘要）",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26,中
Chemistry,Datacurve,A 轮 1500 万美元,$15 million Series A in October 2025 led by Chemistry（搜索摘要）,https://techfundingnews.com/datacurve-raises-15m-series-a-chemistry-high-quality-ai-coding-datasets/,2025-10,中
Cognition 员工（个人天使）,Proximal,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,低
Construct Capital,BenchFlow,$1M 种子轮,"$1M seed funding came in January 2025 from investors including YC, Pear, Construct, FAST-GETTYLAB, and Ankit Jain（搜索摘要）",https://www.startuphub.ai/startups/benchflow-ai,2025-01,低
Cursor 员工（个人天使）,Proximal,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,低
Datadog,Patronus AI,A 轮投资,Series A ... led by Notable Capital ... with participation from Lightspeed Venture Partners and Datadog（搜索摘要）,https://www.patronus.ai/blog/announcing-our-17-million-series-a,2024-05,高
