被投公司,赛道,轮次,金额,日期,领投方,跟投方,来源链接,置信度
Scale AI,人类数据/专家网络,F 轮（含老股）,$1B（估值 $13.8B）,2024-05-21,Accel,Amazon；Meta；Cisco Investments；DFJ Growth；Intel Capital；ServiceNow Ventures；AMD Ventures；WCM；Elad Gil；NVIDIA；Y Combinator；Nat Friedman；Index；Founders Fund；Coatue；Thrive；Spark；Tiger Global；Greenoaks；Wellington,https://www.businesswire.com/news/home/20240521674964/en/Scale-AI-Raises-$1-Billion-Series-F-to-Push-The-Frontier-of-AI-Data,高（搜索摘要）
Scale AI,人类数据/专家网络,战略投资（49% 无投票权股权）,约 $14.3B（隐含估值约 $29B）,2025-06,Meta,无,https://scale.com/blog/scale-ai-announces-next-phase-of-company-evolution,中（搜索摘要）
Mercor,人类数据/专家网络,种子轮,$3.6M,2023,General Catalyst,未找到,https://techcrunch.com/2025/02/20/mercor-an-ai-recruiting-startup-founded-by-21-year-olds-raises-100m-at-2b-valuation/,中（搜索摘要）
Mercor,人类数据/专家网络,A 轮,$32M（估值 $250M）,2024,Benchmark,未找到,https://techcrunch.com/2025/02/20/mercor-an-ai-recruiting-startup-founded-by-21-year-olds-raises-100m-at-2b-valuation/,中（搜索摘要）
Mercor,人类数据/专家网络,B 轮,$100M（估值 $2B）,2025-02-20,Felicis,General Catalyst；Benchmark；DST Global Partners；Menlo Ventures,https://www.mercor.com/blog/series-b/,高（搜索摘要）
Mercor,人类数据/专家网络,C 轮,$350M（估值 $10B）,2025-10-27,Felicis,Benchmark；General Catalyst；Robinhood Ventures,https://techcrunch.com/2025/10/27/mercor-quintuples-valuation-to-10b-with-350m-series-c/,高（搜索摘要）
Mercor,人类数据/专家网络,新一轮（洽谈中，未确认完成）,约 $500M（估值约 $20B）,2026-07-09 报道,据报 General Catalyst 洽谈领投,据报 NVIDIA 洽谈参与,https://techcrunch.com/2026/07/09/mercor-is-in-talks-for-a-20b-valuation/,中（领投/跟投细节为低，搜索摘要）
Sepal AI,人类数据/专家网络,被 Mercor 收购,未披露,2026-02,Mercor（收购方）,此前投资方：186 Ventures；Global Founders Capital；One Way Ventures；Village Global；Y Combinator,https://www.rl-list.com/vendors/sepal-ai,低（搜索摘要）
Turing,人类数据/专家网络,E 轮,$111M（投后 $2.2B）,2025-03-06,Khazanah Nasional,WestBridge Capital；Sozo Ventures；Foundation Capital；StepStone Group；AltaIR Capital；Amino Capital；Plug and Play,https://www.businesswire.com/news/home/20250306942806/en/Turing-Gears-Up-to-Power-Next-Wave-of-AGI-with-$111-Million-in-Series-E,高（搜索摘要）
Invisible Technologies,人类数据/专家网络,成长轮,$100M（估值 >$2B）,2025-09-16,Vanara Capital,Princeville Capital；HOF Capital；Freestyle VC；Rocketeer；Tallwoods Capital；Acrew Capital；Greycroft；Backed VC；BY Ventures；Deepwater Asset Management,https://www.businesswire.com/news/home/20250916425748/en/Invisible-Technologies-Raises-$100-Million-to-Power-the-Next-Generation-of-AI-Infrastructure-for-the-Enterprise,高（搜索摘要）
micro1,人类数据/专家网络,A 轮,$35M（估值 $500M）,2025-09-12,01 Advisors,未找到,https://techcrunch.com/2025/09/12/micro1-a-competitor-to-scale-ai-raises-funds-at-500m-valuation/,中（搜索摘要）
micro1,人类数据/专家网络,新一轮,逾 $100M（估值 $4B）,2026-09-22 报道,未披露,两家前沿 AI 实验室；两位 xAI 联合创始人（未具名）；部分客户,https://www.forbes.com/sites/annatong/2026/09/22/this-25-year-old-raised-over-100-million-for-his-ai-data-startup-at-a-4-billion-valuation/,中（搜索摘要）
AfterQuery,人类数据/专家网络；RL 环境,A 轮,$30M（估值 $300M）,2026-04-09,Altos Ventures,The Raine Group；Y Combinator；BoxGroup；Latitude Capital；来自 Google DeepMind/OpenAI/Anthropic/Meta MSL/Microsoft AI 的天使,https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,高（搜索摘要）
AfterQuery,人类数据/专家网络；RL 环境,新一轮（报道为 B 轮）,未披露（估值 $3.2B）,2026-09-01 报道,未披露,未披露,https://techcrunch.com/2026/09/01/afterquery-reportedly-becomes-y-combinators-fastest-ever-unicorn-now-valued-at-3-2b/,中（搜索摘要）
Datacurve,人类数据/专家网络,种子轮,$2.7M,2025-10 之前,未找到,Y Combinator；Balaji Srinivasan,https://techcrunch.com/2025/10/09/datacurve-raises-15-million-to-take-on-scaleai/,中（搜索摘要）
Datacurve,人类数据/专家网络,A 轮,$15M,2025-10-09,Chemistry,DeepMind、Vercel、Anthropic、OpenAI 员工,https://techcrunch.com/2025/10/09/datacurve-raises-15-million-to-take-on-scaleai/,中（搜索摘要）
Toloka,人类数据/专家网络；评测,战略投资,$72M,2025-05-07,Bezos Expeditions,Mikhail Parakhin（任执行董事长）；Nebius 保留多数经济权益,https://toloka.ai/blog/toloka-strategic-investment-led-by-bezos-expeditions/,高（搜索摘要）
Snorkel AI,人类数据/专家网络；RL 环境,D 轮,$100M（估值 $1.3B）,2025-05-29,Addition,Prosperity 7 Ventures；Greylock；Lightspeed；BNY；QBE Ventures,https://www.businesswire.com/news/home/20250529083998/en/Snorkel-AI-Announces-$100-Million-Series-D-and-Expanded-Platform-to-Power-Next-Phase-of-AI-with-Expert-Data,高（搜索摘要）
Snorkel AI,人类数据/专家网络；RL 环境,E 轮,$350M（估值 $3.5B）,2026-09-22,Insight Partners；S32,Addition；Greylock；Wells Fargo；GV；Lightspeed,https://techcrunch.com/2026/09/22/snorkel-ai-triples-valuation-to-3-5b-as-demand-for-ai-training-data-booms/,中（搜索摘要）
Pareto.AI,人类数据/专家网络,种子/A 轮（口径不一）,约 $13M–$17.8M（累计）,2025,未找到,Plural；Browder Capital；Envision Accelerator；Fearless Fund；Huskeys,https://www.startuphub.ai/investment_rounds/pareto-ai-series-a-round/,低（搜索摘要）
Deccan AI,人类数据/专家网络,A 轮,$25M,2026-03-25,A91 Partners,Susquehanna International Group；Prosus Ventures,https://techcrunch.com/2026/03/25/deccan-ai-raises-25m-as-ai-training-push-relies-on-india-based-workforce,中（搜索摘要）
Poindexter Labs,人类数据/专家网络,种子轮,£2M,2026-06-02,Episode 1 Ventures,Evertrue Capital；Octopus Ventures First Cheque Fund,https://tech.eu/2026/06/02/poindexter-labs-raises-ps2m-to-improve-training-data-for-advanced-ai/,中（搜索摘要）
Realset AI / Flatkey,人类数据/专家网络；RL 环境,A 轮,$10M,2026-09-23,未披露,未披露,https://www.prnewswire.com/news-releases/realset-ai-and-flatkey-raise-10m-series-a-to-build-real-world-training-data-for-frontier-models-and-embodied-agents-302887825.html,高（金额；搜索摘要）
