机构,信号类型,信号内容,原文证据,来源链接,来源日期,来源类型,置信度
DeepSeek 深度求索,招聘,2026-06 大规模扩招（33岗/7类），模型数据策略方向开放5岗：Code Agent数据工程师、通用Agent数据产品经理、专业领域数据产品经理（小语种/医学/法律等）、AI创意数据、情商数据；另有Agent数据标注策略、评测算法、标注平台开发岗,“模型数据策略方向开放5个岗位，包括Code Agent数据工程师、通用Agent数据产品经理、专业领域数据产品经理（小语种、医学、法律等）…”；“Agent数据标注策略、评测算法、数据产品和标注平台开发”,https://www.stcn.com/article/detail/3980996.html,2026-06-26前后,媒体报道/搜索摘要,低
DeepSeek 深度求索,招聘,2026-03 急招Agent方向，一次放出17个岗位,标题：“DeepSeek急招Agent方向！一口气放17个岗位，重度Vibe Coding优先”,https://www.qbitai.com/2026/03/392024.html,2026-03,媒体报道/搜索摘要（仅标题）,低
阶跃星辰 StepFun,招聘,招聘Agent RL算法研究员、Agent数据算法工程师、GUI/Browser-use Agent研究员；职责含结合强化学习环境构建智能体、数据迭代流程优化,“Agent RL 算法迭代（结合强化学习环境，构建具备记忆、反思、规划、自进化及工具调用能力的类人智能体）…数据迭代流程优化”,https://zhuanlan.zhihu.com/p/1941521619219620455,2025-08,知乎招聘帖/搜索摘要,低
MiniMax,模型发布(RL/Agent),M2.5 基于20万+真实环境做RL（编程/搜索/办公），Forge Agent RL框架集成数百种scaffold/环境、数千种工具调用格式,"“基于200,000+真实环境进行RL训练…覆盖编程、搜索和办公场景”；Forge“集成了数百种scaffold（环境）和数千种工具调用格式”",https://huggingface.co/blog/MiniMax-AI/forge-scalable-agent-rl-framework-and-algorithm,2026-02前后,官方博客/搜索摘要,低
MiniMax,公开表态,官方文章《MiniMax M2.1：在Agent场景下的后训练技术与实践经验》分享Agent后训练与环境构建,官方新闻页标题：MiniMax M2.1：在 Agent 场景下的后训练技术与实践经验,https://www.minimaxi.com/news/minimax-m21%E5%9C%A8-agent-%E5%9C%BA%E6%99%AF%E4%B8%8B%E7%9A%84%E5%90%8E%E8%AE%AD%E7%BB%83%E6%8A%80%E6%9C%AF%E4%B8%8E%E5%AE%9E%E8%B7%B5%E7%BB%8F%E9%AA%8C,2025-12/2026-01,官方博客/搜索摘要（仅标题）,低
小米 MiMo,模型发布(RL/Agent),2026-09-22 开源MiMo-V2.6，多任务智能体RL混合多框架/多环境，公开沙箱环境池、反reward-hacking管线等遥测；半年投入“高质量数据、强化学习环境”,“把算力和心思砸进了高质量数据、强化学习环境和研究本身”；“沙箱环境池、反reward-hacking管线”,https://www.sohu.com/a/1077331440_122066678,2026-09,媒体报道/搜索摘要,低
美团 LongCat,模型发布(RL/Agent),LongCat-Flash-Thinking-2601：环境扩展+多环境强化学习，多套训练环境每套集成60余种工具；自研RL基建DORA,“构建了多套高质量训练环境，每套集成60余种工具…训练环境越丰富，模型在未知场景中的泛化能力越强”,https://tech.meituan.com/2026/01/20/longcat-flash-thinking-2601.html,2026-01-20,官方技术博客/搜索摘要,低
快手 Kwaipilot,模型发布(RL/Agent),KAT-Coder-Pro V2.5：大规模Agentic RL系统；AutoBuilder自动构建可执行仓库环境，成功率从约16.5%提升至57.2%,“AutoBuilder自动化流水线，将可执行仓库环境构建成功率从行业平均约16.5%提升至57.2%”,https://www.agentren.cn/2026/0710/20259.shtml,2026-07-10,媒体报道/搜索摘要,低
蚂蚁集团 百灵 Ling,模型发布(RL/Agent),2026-05-15 开源Ring-2.6-1T，面向Agent工作流，异步RL训练架构,“面向Agent工作流、工程开发…企业自动化流程等真实生产环境”；“采用异步强化学习训练架构”,https://www.qbitai.com/2026/05/417961.html,2026-05,媒体报道/搜索摘要,低
智谱 Zhipu,模型发布(RL/Agent),GLM-5 面向Agentic Engineering，slime异步Agent RL框架（Rollout与环境交互收集轨迹、剔除环境故障样本）,“生成池与环境交互并收集轨迹…识别因环境故障而非模型能力导致失败的样本”,https://zhuanlan.zhihu.com/p/2009393352567697921,2026-02前后,知乎技术解读/搜索摘要,低
