分段,优先级,优先级理由,谨慎,投资方,类型,地区,本赛道已投,领投过的,常投阶段和金额,对接合伙人,合伙人来源链接,公开观点原话,观点链接,投过的直接竞品,匹配度,匹配理由,置信度
海外,1,量化机构本身，今年跟投了评测公司 Vals 和红队公司 Gray Swan，最认可我们的团队背景。,,HRT Ventures（Hudson River Trading）,战略投资,美国（纽约）,Vals AI（A 轮，2026-08）；Gray Swan AI（A 轮，2026-05，以 Hudson River Trading 名义）,未找到,据 Tracxn/CB Insights 摘要约 10–15 笔，约 40% 种子轮，其余 A–D 轮；单笔金额未公开,未找到（HRT 合伙人为 Jason Carroll、Oaz Nir、Prashant Lal，未见证据表明谁负责 ventures）,https://www.hudsonrivertrading.com/ventures/,未找到,,无（Vals、Gray Swan 为评测/红队，非直接竞品）,高,量化机构本身，与 Citadel/Millennium/Jane Street 背景天然相通；2026 年连投两家评测/红队公司，说明认可 AI 数据/评测赛道；有种子轮先例。对接人需通过 HRT 官网渠道确认。,中（Vals 官方博客、Gray Swan 官方新闻经搜索摘要；负责人未找到）
海外,2,Yuri Sagalov 专做种子，8 月领投 RL 沙箱公司 Arga；它和 Mercor 绑定很深，要讲清差异。,,General Catalyst,VC,美国,Arga Labs（种子领投 $10M，2026-08）；Mercor（种子领投 2023，B/C 轮跟投，据报洽谈领投 ~$20B 新一轮）；Haize Labs（种子领投 $12.5M）；Good Start Labs（种子）；General Intuition（种子联合领投 $133.7M）,Arga Labs；Mercor（种子）；Haize Labs；General Intuition,种子到成长期全覆盖；种子单笔约 $10M 量级（Arga）,Yuri Sagalov（董事总经理，负责种子项目，领投 Arga）,https://www.generalcatalyst.com/team/yuri-sagalov,"""Having a repeatable sandbox environment is very important, and much more important with agents than it was with humans.""",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,Mercor（深度绑定，据报领投新一轮）；Arga Labs（企业软件数字孪生 RL 环境）,高,Sagalov 专做种子且刚在企业 RL 沙箱领投，观点与 SimReal 高度吻合；Arga CTO 有 Goldman Sachs 背景。风险：与 Mercor 关系深，需说明差异化（金融垂直 + 验证器）。,中（TechCrunch、官网团队页，经搜索摘要）
海外,3,公开说 RL 环境是 AI 栈的下一层；Deeptune 被 Mercor 收购后，这个方向留出了空位。,,Andreessen Horowitz (a16z),VC,美国,Deeptune（A 轮领投 $43M，2026-03，后被 Mercor 收购）；Vals AI（A 轮领投 $40M）；LMArena（种子领投 $100M，A 轮跟投）；Braintrust（A 轮领投 $36M，B 轮跟投）；Periodic Labs（种子）；Moment（老股东）；Huzzle Labs（a16z Scout Fund）,Deeptune；Vals AI；LMArena（种子）；Braintrust（A 轮）,种子到成长期；本赛道 A 轮单笔 $36M–$43M,Martin Casado（GP，Infrastructure，Deeptune/Braintrust）；Jennifer Li（GP，基础设施，Vals 相关公开表态）；Marco Mascorro（Deeptune 投资文联署）；Anjney Midha（LMArena 种子时为 GP）,https://a16z.com/announcement/investing-in-deeptune/,"""Reinforcement learning (RL) environments are already becoming the next critical layer of the AI stack.""；Jennifer Li: ""All the big AI labs are building RL environments in-house. But creating these datasets is very complex, so AI labs are also looking at third-party vendors.""",https://a16z.com/announcement/investing-in-deeptune/；https://techcrunch.com/2025/09/21/silicon-valley-bets-big-on-environments-to-train-ai-agents/,Deeptune（已并入 Mercor）,高,公开且明确的 RL 环境投资论点，Deeptune 退出后在该赛道留有空位；跟投过前 Citadel Securities 量化团队创办的 Moment。阶段偏 A 轮，种子可走 Casado/Li 线。,高（官方投资文）/中（TechCrunch），经搜索摘要
海外,4,两次领投前 Citadel Securities 量化团队创办的 Moment，还领投过后训练公司 Adaptive ML。,,Index Ventures,VC,美国/欧洲（伦敦）,Adaptive ML（种子领投 $20M，2024-03，后被 Datadog 收购）；Matrices（种子）；Scale AI（老股东）；Moment（B、C 轮领投，前 Citadel Securities 量化团队，非本赛道）,Adaptive ML；Moment（非本赛道）,种子到成长期；种子单笔约 $20M（Adaptive ML）；Moment C 轮 $78M,未找到（Adaptive ML、Moment 负责合伙人均未查到）,,未找到,,Scale AI（老股东）,高,唯一查到连续领投前 Citadel 量化团队（Moment）的一线基金，且领投过后训练 RL 平台种子轮（Adaptive ML）；美欧双中心。需先找到具体合伙人。,中（Bloomberg、BusinessWire 经搜索摘要）
海外,5,Mark Goldberg 写过投资论文《RL Reigns Supreme》，领投了 Datacurve，对华人团队友好。,,Chemistry,VC,美国,Datacurve（A 轮领投 $15M，2025-10）,Datacurve,A 轮，单笔约 $15M,Mark Goldberg（领投 Datacurve）,https://techcrunch.com/2025/10/09/datacurve-raises-15-million-to-take-on-scaleai/,"大意：AI 进步的真正瓶颈不只是算力或模型设计，而是数据（搜索摘要，逐字未核实）；另有投资论文 ""RL Reigns Supreme""",https://www.chemistry.vc/post/staying-ahead-of-the-curve；https://www.chemistry.vc/post/rl-reigns-supreme,Datacurve（编码数据与 RL 环境）,高,有专门的 RL 投资论文且已领投一家年轻创始人数据公司；Datacurve 联合创始人 Serena Ge 被 36Kr 称为“19 岁中国女孩”（国籍未核实，https://eu.36kr.com/en/p/3546634395742088），说明不排斥华人创始人。与 Datacurve 在编码数据上重叠，SimReal 金融方向可区分。,中（TechCrunch、官网，经搜索摘要）
海外,6,Leigh Marie Braswell 出身 Scale，领投 Applied Compute；Applied Compute 也是我们的潜在客户。,,Kleiner Perkins,VC,美国,Applied Compute（2026-04 领投 $80M，投后 $1.3B）；LMArena（种子、A 轮跟投）,Applied Compute,种子到成长期；领投单笔 $80M（Applied Compute）,Leigh Marie Braswell（合伙人，据摘要领投 Applied Compute 并任董事；曾在 Scale AI 工作）,https://www.kleinerperkins.com/people/leigh-marie-braswell/,未找到,,无（Applied Compute 做企业后训练，偏客户而非竞品）,高,Braswell 有 Scale AI 数据业务经验，对后训练数据赛道认知深；Applied Compute 是 RL 环境的潜在客户，可形成组合协同。,中（官网、Forbes，经搜索摘要）
海外,7,Faraz Fatemi 今年领投了训练数据公司 Origin Lab 和评测公司 Judgment Labs 的种子轮。,,Lightspeed,VC,美国/全球,Origin Lab（种子领投 $8M，2026-05）；Judgment Labs（种子+A 轮领投 $32M，2026-05）；Ineffable Intelligence（种子联合领投）；Snorkel AI（D 轮跟投）；LMArena（种子、A 轮跟投）；Patronus AI（B 轮跟投）,Origin Lab；Judgment Labs；Ineffable Intelligence,种子到成长期；种子单笔 $8M（Origin Lab）,Faraz Fatemi（合伙人，领投 Origin Lab）；James Alcorn（合伙人，与 Judgment Labs 相关，搜索摘要）,https://www.businesswire.com/news/home/20260513129175/en/Origin-Lab-Raises-$8M-Seed-Led-by-Lightspeed-to-Build-the-Platform-Turning-Video-Game-Worlds-Into-Training-Data-for-AI,"Faraz Fatemi: ""Frontier AI is moving from understanding language to understanding worlds. That shift requires a different class of data: licensed, structured, multimodal, and grounded in interactive environments.""",https://www.businesswire.com/news/home/20260513129175/en/Origin-Lab-Raises-$8M-Seed-Led-by-Lightspeed-to-Build-the-Platform-Turning-Video-Game-Worlds-Into-Training-Data-for-AI,Snorkel AI（跟投）,高,2026 年在训练数据/评测连续领投种子轮；投过 Pika（华人创始人 Demi Guo、Chenlin Meng），对华人团队友好。,高（新闻稿）/低（Alcorn），经搜索摘要
海外,8,领投编码 RL 环境公司 Proximal 的种子轮，单笔小、决策快，适合做种子锚定。,,Scribble Ventures,VC,美国,Proximal（种子领投，约 2026-02）；Poolside,Proximal,pre-seed 到 A 轮，单笔约 $30 万–75 万（搜索摘要）；管理规模 $2.16 亿,Elizabeth Weil（创始人/管理合伙人）；Stu Smith（发布 Proximal 投资帖）,https://www.scribble.vc/elizabeth-weil,未找到,,Proximal（编码 RL 环境）,高,种子领投过 RL 环境公司，单笔小、决策快，适合作为种子领投或早期锚定。,中/低（搜索摘要）
海外,9,Deedy Das 一直在整理这个赛道的图谱，最懂行；但已投 Fleet 和 Mercor 两家竞品。,,Menlo Ventures,VC,美国,Fleet（种子、A 轮）；Mercor（B 轮跟投）；Prime Intellect（种子扩展跟投）,Fleet（种子，未明确是否领投）,种子到 B 轮（Deedy Das 官网自述）,Deedy Das（合伙人，种子到 B 轮 AI/基础设施，持续整理训练数据/RL 环境市场图谱）；Tim Tully（合伙人，官网所列投资含 Fleet）,https://menlovc.com/team/deedy-das/；https://menlovc.com/team/tim-tully/,"Deedy Das 的市场图谱帖 ""Every single startup selling AI Training Data (July 2026)""，统计 50+ 家公司、合计约 $85 亿收入（为概述，非逐字原话）",https://x.com/deedydas/status/2076124392711696455,Fleet（企业软件 RL 环境）；Mercor；Prime Intellect,中,赛道认知最深的机构之一（Deedy 的市场图谱），种子到 B 轮对得上；但已投 Fleet、Mercor 两家直接竞品，需强调金融垂直差异。,中（官网团队页、X，经搜索摘要）
海外,10,量化做市机构，跟投了人类数据公司 Deccan AI 的 A 轮。,,Susquehanna International Group（SIG）,战略投资,美国（费城）,Deccan AI（A 轮跟投 $25M，2026-03，印度专家数据）,未找到,跟投,未找到,,未找到,,Deccan AI（人类数据）,高,量化做市机构投人类数据公司，与 SimReal 量化背景+专家数据叙事契合。,中（TechCrunch，经搜索摘要）
