供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度
Scale AI（含 Outlier、Remotasks）,Meta,科技大厂,投资方,以 143 亿美元取得 49% 股权并扩大商业合作,Meta invested $14.3 billion into Scale AI and took a 49% stake,https://www.cnbc.com/2025/06/18/openai-is-winding-down-its-work-with-scale-ai-founder-is-joining-meta.html,2025-06-18,媒体报道,高
Scale AI（含 Outlier、Remotasks）,Meta,科技大厂,客户,协议扩大双方商业关系，加快部署 Scale 数据方案,the agreement substantially expanded Scale and Meta's commercial relationship to accelerate deployment of Scale's data solutions,https://scale.com/blog/scale-ai-announces-next-phase-of-company-evolution,2025-06,供应商官方（搜索摘要）,中
Scale AI（含 Outlier、Remotasks）,Meta（TBD Lab）,科技大厂,客户变动（停止合作等）,TBD Lab 研究员认为 Scale 数据质量低，更倾向用 Surge 和 Mercor,researchers in TBD Labs see Scale AI's data as low quality and have expressed a preference to work with Surge and Mercor,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai,2025-08-29,媒体报道,中
Scale AI（含 Outlier、Remotasks）,Google,科技大厂,客户变动（停止合作等）,Google 曾是最大客户（2025 年原计划支付约 2 亿美元），Meta 交易后计划终止,"Google, Scale's largest customer at roughly a $200 million annual contract",https://www.cnbc.com/2025/06/14/google-scale-ais-largest-customer-plans-split-after-meta-deal.html,2025-06-14,媒体报道,中
Scale AI（含 Outlier、Remotasks）,Google,科技大厂,客户,"Remotasks 为 Google Bard/Gemini 做 ""Bulba Experts"" 项目","""Bulba"" was the name for Google's Bard AI program ... project leads working for Scale subsidiary Remotasks",https://www.inc.com/sam-blum/exclusive-scale-ais-spam-security-woes-while-serving-google/91205895,2025,媒体报道,中
Scale AI（含 Outlier、Remotasks）,OpenAI,frontier lab,客户变动（停止合作等）,OpenAI 确认逐步结束与 Scale 的合作,OpenAI is winding down its work with Scale AI,https://www.cnbc.com/2025/06/18/openai-is-winding-down-its-work-with-scale-ai-founder-is-joining-meta.html,2025-06-18,媒体报道,中
Scale AI（含 Outlier、Remotasks）,xAI,frontier lab,客户变动（停止合作等）,Meta 交易后暂停部分项目,"Google, OpenAI, xAI pause projects with Scale AI",https://www.linkedin.com/posts/businessinsider_google-scaleai-meta-activity-7341221356211990529-SaBj,2025-06,媒体报道（Business Insider，搜索摘要）,低
Scale AI（含 Outlier、Remotasks）,Microsoft,科技大厂,客户变动（停止合作等）,据报道减少对 Scale 的支出,"OpenAI has already cut its use of Scale, while Microsoft and xAI are also planning to pare back their spend",https://www.datastudios.org/post/google-openai-and-microsoft-end-partnerships-with-scale-ai-after-meta-investment,2025-06,二手转述（搜索摘要）,低
Scale AI（含 Outlier、Remotasks）,Meta / Morgan Stanley / Microsoft / OpenAI / 美国陆军 / DIU / GM / Toyota Research Institute,其他,客户,融资稿列出的客户,"Scale is trusted by industry leaders, including Meta, Morgan Stanley, Microsoft, the U.S. Army, the DoD's Defense Innovation Unit, OpenAI, General Motors, and Toyota Research Institute",https://www.businesswire.com/news/home/20240521674964/en/Scale-AI-Raises-$1-Billion-Series-F-to-Push-The-Frontier-of-AI-Data,2024-05-21,供应商官方新闻稿,低
Scale AI（含 Outlier、Remotasks）,美国国防部（CDAO）,政府,客户,生产协议上限从 1 亿提高到 5 亿美元，用于数据处理与决策支持,The Pentagon awarded a $500 million contract to Meta Platforms Inc.-backed Scale AI,https://www.bloomberg.com/news/articles/2026-05-06/meta-backed-scale-ai-wins-500-million-defense-department-deal,2026-05-06,媒体报道,中
